XYDATA,TRP_lipid-000_12-11-25-1,TRP_lipid-005_12-11-25-1,TRP_lipid-010_12-11-25-1,TRP_lipid-015_12-11-25-1,TRP_lipid-020_12-11-25-1,TRP_lipid-025_12-11-25-1,TRP_lipid-030_12-11-25-1,TRP_lipid-035_12-11-25-1,TRP_lipid-040_12-11-25-1,TRP_lipid-045_12-11-25-1,TRP_lipid-050_12-11-25-1
328.5000,1700.71,1650.68,1623.06,1604.95,1575.97,1553.76,1537.13,1510.08,1490.49,1466.54,1445.53
329.0000,1734.52,1682.96,1655.25,1635.97,1606.47,1583.99,1566.74,1539.48,1519.2,1494.92,1473.75
329.5000,1778.73,1726.25,1697.67,1677.53,1647.09,1624.14,1606.39,1578.21,1557.8,1532.64,1510.46
330.0000,1815.63,1762.25,1732.87,1711.7,1680.82,1657.07,1638.96,1610.62,1589.93,1563.94,1541.34
330.5000,1855.53,1800.83,1771.49,1749.4,1718.15,1693.48,1674.65,1645.72,1624.66,1597.93,1575.15
331.0000,1891.99,1835.85,1805.79,1782.97,1751.36,1726.46,1707.48,1677.75,1655.52,1628.22,1605.76
331.5000,1931.93,1873.85,1842.74,1819.67,1788.34,1762.51,1743.47,1712.68,1688.7,1661.68,1638.2
332.0000,1967.92,1908.02,1876.29,1852.85,1820.72,1794.66,1775.05,1744.38,1719.47,1691.91,1667.7
332.5000,2006.86,1945.8,1913.63,1889.56,1856.57,1829.23,1809.58,1778.32,1752.97,1724.86,1699.85
333.0000,2047.99,1986.26,1953.4,1928.67,1894.75,1866.86,1846.35,1814.72,1789.34,1760.65,1734.72
333.5000,2078.41,2016.41,1983.36,1958.61,1923.72,1895.31,1874.06,1842.36,1816.01,1787.19,1760.37
334.0000,2119.63,2056.55,2022.72,1996.86,1960.82,1931.11,1909.88,1878.01,1850.89,1821.09,1793.68
334.5000,2153.07,2088.26,2054.26,2027.86,1992.44,1961.21,1939.65,1906.89,1879.33,1848.92,1821.53
335.0000,2189.52,2123.89,2089.01,2061.33,2025.29,1993.84,1971.41,1938.21,1910.33,1879.7,1852.09
335.5000,2221.96,2156.12,2119.96,2091.38,2054.31,2022.95,2000.32,1966.08,1938.38,1906.81,1878.6
336.0000,2256.48,2190.49,2153.83,2123.7,2086.08,2054.51,2031.57,1996.64,1968.47,1936.25,1907.88
336.5000,2287.39,2221.24,2182.93,2152.71,2114.94,2082.29,2058.68,2023.97,1994.51,1962.81,1933.56
337.0000,2321.26,2253.77,2213.71,2183.66,2146.15,2112.83,2088.87,2053.61,2023.71,1991.47,1960.8
337.5000,2356.57,2287.44,2247.53,2216.59,2178.68,2145.18,2120.88,2084.34,2054.6,2022.09,1990.74
338.0000,2382.11,2312.97,2272.83,2240.8,2202.73,2168.17,2143.92,2107.11,2077.29,2044.02,2012.4
338.5000,2415.71,2345.39,2304.25,2272.85,2234.64,2199.35,2173.7,2136.78,2106.57,2072.22,2041.14
339.0000,2443.04,2371.95,2330.25,2298.09,2260.79,2224.31,2198.82,2160.57,2130.75,2095.94,2064.4
339.5000,2473.45,2401.13,2357.99,2325.77,2288.24,2251.08,2225.5,2186.38,2156.48,2121.39,2089.48
340.0000,2499.28,2427.19,2381.88,2349.95,2312.42,2274.78,2248.73,2210.25,2178.59,2144.43,2111.25
340.5000,2527.31,2454.89,2407.91,2375.5,2338.14,2300.12,2273.5,2234.74,2202.49,2167.99,2135.07
341.0000,2552.08,2478.43,2431.7,2398.51,2360.95,2322.28,2295.27,2256.24,2223.8,2189.14,2155.67
341.5000,2578.79,2503.9,2457.23,2422.94,2385.27,2346.31,2319.25,2279.88,2246.55,2211.76,2177.64
342.0000,2607.03,2530.39,2483.5,2449.07,2411.48,2372.39,2343.21,2303.76,2269.52,2235.58,2200.3
342.5000,2626.89,2549.7,2502.8,2468.6,2429.98,2390.34,2361.39,2321.7,2286.3,2252.55,2217.1
343.0000,2653.19,2573.53,2526.95,2492.01,2453.81,2414.04,2384.35,2343.89,2308.21,2274.17,2238.92
343.5000,2672.54,2593.91,2545.97,2511.18,2472.81,2433.69,2402.16,2361.42,2326.05,2291.22,2256.7
344.0000,2694.14,2614.38,2566.98,2530.48,2493.26,2452.98,2421.57,2380.61,2345.23,2309.81,2275.55
344.5000,2712.69,2632.93,2584.69,2548.06,2511.29,2470.92,2437.86,2396.53,2361.18,2325.98,2291.22
345.0000,2732.32,2652.03,2603.21,2567.99,2529.71,2489.83,2455.63,2413.74,2378.36,2343.52,2307.88
345.5000,2749.61,2669.12,2619.93,2584.15,2545.56,2505.16,2471.15,2429.29,2393.31,2358.21,2322.81
346.0000,2768.73,2686.7,2636.91,2601.34,2561.86,2521.72,2487.13,2444.81,2409.3,2373.53,2338.26
346.5000,2786.9,2704.15,2655,2618.82,2579.26,2538.2,2504.22,2461.55,2425.37,2389.73,2353.82
347.0000,2801.42,2719.14,2668.71,2632.48,2593.03,2551.52,2517.52,2474.45,2437.93,2402.98,2365.82
347.5000,2816.39,2733.98,2683.67,2646.82,2607.57,2565.2,2531.23,2488.36,2451.53,2416.69,2378.79
348.0000,2829.55,2746.59,2695.69,2659.75,2619.64,2577.57,2543.17,2499.33,2462.77,2427.73,2390.12
348.5000,2843.24,2759.28,2708.78,2672.95,2632.5,2590.17,2555.53,2511.25,2474.68,2439.45,2401.6
349.0000,2853.9,2770.2,2719.29,2683.7,2642.87,2600.03,2564.94,2521.37,2484.73,2449.3,2411.28
