XYDATA,BFII_lipid-000_12-11-25-1,BFII_lipid-005_12-11-25-1,BFII_lipid-010_12-11-25-1,BFII_lipid-015_12-11-25-1,BFII_lipid-020_12-11-25-1,BFII_lipid-025_12-11-25-1,BFII_lipid-030_12-11-25-1,BFII_lipid-035_12-11-25-1,BFII_lipid-040_12-11-25-1,BFII_lipid-045_12-11-25-1,BFII_lipid-050_12-11-25-1
328.5000,1329.34,1361.6,1394.11,1400.07,1403.14,1405.08,1413.29,1411.96,1415.65,1412.02,1411.98
329.0000,1356.22,1388.51,1420.26,1425.51,1427.14,1429.05,1435.84,1434.26,1436.25,1432.15,1431.65
329.5000,1391.53,1423.81,1455.02,1459.07,1460.1,1460.5,1466.42,1462.76,1464.47,1458.9,1458.12
330.0000,1420.65,1452.95,1483.58,1486.8,1486.68,1485.9,1491.11,1486.23,1487.43,1481.02,1478.72
330.5000,1452.64,1484.87,1515.35,1517.26,1516.03,1513.72,1518.18,1512.63,1512.47,1505.67,1501.48
331.0000,1482.08,1513.02,1542.91,1544.91,1542.44,1539.48,1542.35,1535.9,1535.34,1527,1522
331.5000,1513.96,1544.31,1573.51,1574.67,1571.39,1566.75,1568.8,1561.07,1559.34,1550.07,1543.92
332.0000,1541.89,1572.38,1601.55,1601.06,1597.04,1591.28,1592.39,1583.8,1581.63,1570.84,1563.98
332.5000,1573.1,1602.71,1631.43,1629.48,1624.89,1618.58,1617.7,1608.41,1604.7,1593.48,1585.08
333.0000,1606.44,1635.12,1662.93,1660.28,1654.01,1646.67,1644.76,1634.38,1629.91,1617.23,1607.64
333.5000,1630.79,1658.83,1686.75,1682.85,1675.76,1666.81,1664.29,1652.94,1648.67,1635.12,1624.23
334.0000,1663.15,1689.82,1717.11,1712.14,1704.47,1693.67,1690.57,1677.88,1672.97,1657.64,1645.96
334.5000,1690.03,1715.24,1742.32,1736.22,1727.44,1715.95,1711.86,1698.28,1692.66,1676.33,1663.73
335.0000,1717.65,1742.85,1770.1,1762.11,1752.62,1740.17,1734.81,1719.96,1713.61,1696.56,1683
335.5000,1742.13,1767.89,1794.17,1785.87,1775.25,1761.74,1755.66,1738.81,1732.31,1714.07,1699.23
336.0000,1769.1,1795.08,1820.38,1811.31,1798.94,1784.42,1777.71,1759.5,1752.26,1732.96,1717.22
336.5000,1792.77,1819.42,1843.81,1834.11,1820.84,1804.58,1796.87,1777.99,1769.66,1750.01,1732.68
337.0000,1818.69,1845.11,1868.72,1857.65,1843.61,1826.13,1817.45,1797.77,1788.19,1767.69,1749.75
337.5000,1845.84,1872.94,1895.26,1882.61,1867.78,1848.88,1839.36,1817.92,1807.54,1786.41,1767.82
338.0000,1866.45,1893.07,1914.71,1901.49,1885.11,1865.25,1854.79,1832.89,1821.4,1799.99,1779.87
338.5000,1892.11,1918.69,1939.18,1925.98,1908.11,1887.37,1874.57,1851.8,1839.65,1817.44,1796.75
339.0000,1913.55,1939.71,1959.22,1945.72,1926.93,1904.11,1891.48,1867.42,1854,1830.92,1810.39
339.5000,1936.47,1962.3,1980.44,1966.92,1947.14,1922.85,1909.01,1883.88,1869.82,1845.35,1824.32
340.0000,1955.87,1981.8,1998.52,1984.96,1964.9,1939.34,1924.14,1897.98,1883.66,1858.43,1835.94
340.5000,1976.9,2002.74,2018.7,2004.8,1982.41,1956.42,1940.81,1912.91,1898.01,1871.92,1848.51
341.0000,1996.11,2020.88,2036.37,2022.31,1998.17,1972.46,1954.61,1925.54,1910.31,1883.79,1859.31
341.5000,2015.41,2040.56,2055.47,2040.42,2015.45,1987.93,1969.93,1940.21,1923.14,1895.64,1871.14
342.0000,2036.95,2061.42,2074.79,2059.18,2033.44,2004.09,1984.8,1954.08,1936.36,1907.89,1882.43
342.5000,2052.51,2075.99,2089.39,2072.29,2046.17,2015.48,1995.72,1963.96,1945.48,1917.09,1890.7
343.0000,2072.1,2095.02,2106.89,2089.89,2062.09,2030.87,2009.57,1976.41,1958.22,1928.26,1899.89
343.5000,2087.36,2109.99,2120.75,2103.24,2074.49,2042.68,2020.61,1986.23,1967.42,1937.22,1907.17
344.0000,2104.04,2125.99,2136.17,2118.16,2087.23,2055.18,2031.94,1996.76,1976.99,1945.95,1915.01
344.5000,2117.15,2139.21,2149.64,2130.66,2098.48,2066.16,2041.94,2005.74,1985.5,1953.69,1921.39
345.0000,2131.28,2153.22,2163.8,2142.74,2109.99,2077.36,2052.77,2015.39,1993.63,1961.2,1928.25
345.5000,2143.97,2165.19,2175.4,2152.83,2119.96,2086.77,2061.65,2023.17,2000.92,1968.31,1933.78
346.0000,2157.09,2177.77,2186.46,2163.22,2130.14,2096.97,2070.47,2030.08,2008.11,1975,1939.6
346.5000,2170.53,2190.84,2198.76,2174.55,2140.36,2106.68,2079.72,2037.62,2015.28,1981.54,1944.53
347.0000,2180.55,2200.64,2208.68,2183.11,2148.54,2114.28,2086.19,2042.75,2020.51,1986.18,1948.86
347.5000,2191.89,2210.94,2218.35,2192.36,2156.05,2121.74,2093.05,2048.41,2025.1,1990.66,1953.05
348.0000,2201.25,2219.2,2226.05,2199.46,2163.31,2128.48,2098.25,2053.01,2029.54,1993.96,1956.35
348.5000,2211.08,2227.88,2234.12,2206.9,2170.09,2134.33,2103.59,2057.61,2033.04,1997.69,1958.94
349.0000,2219.07,2235.67,2241.04,2212.17,2175.36,2139.43,2107.43,2061.59,2035.84,2000.39,1961.32
349.5000,2226.99,2243.32,2248.44,2218.7,2181.11,2144.75,2111.19,2065.67,2039.06,2003.35,1963.23
350.0000,2234.82,2251.35,2254.53,2225.24,2185.36,2149.44,2114.5,2068.83,2041.31,2005.03,1963.95
350.5000,2241.16,2257.19,2259.95,2229.96,2189.24,2151.52,2116.53,2070.23,2042.59,2005.16,1965.07
351.0000,2246.42,2263.18,2265.76,2234.09,2193.42,2154.42,2118.55,2072.79,2043.69,2006.25,1965.33
351.5000,2251.73,2267.21,2269.48,2237.72,2196.02,2156.56,2120.5,2074.35,2044.37,2006,1964.73
352.0000,2256.56,2271.67,2272.94,2240.37,2198.02,2158.66,2121.7,2074.86,2044.59,2005.54,1963.86
352.5000,2259.31,2275.16,2275.41,2242.19,2199.72,2159.42,2121.72,2074.46,2043.92,2005.35,1962.95
353.0000,2263.11,2278.24,2277.23,2243.6,2200.67,2159.66,2122.51,2074.19,2042.57,2004.61,1960.85
353.5000,2265.77,2280.28,2278.41,2244.81,2200.72,2159.74,2121.81,2073.76,2041.2,2002.67,1959.58
354.0000,2267.82,2281.72,2279.33,2245.11,2200.76,2159.5,2120.92,2072.45,2038.59,2000.34,1956.48
354.5000,2269.24,2281.86,2279.02,2244.9,2199.96,2158.66,2119.16,2069.91,2035.78,1997.01,1952.82
355.0000,2270.27,2281.78,2278.16,2244.12,2198.92,2157.63,2117.83,2067.47,2033.89,1994.17,1949.26
355.5000,2271.06,2281.26,2277.95,2243.41,2197.4,2155.37,2115.13,2064.7,2030.83,1990.31,1944.96
356.0000,2270.33,2280.16,2276.75,2241.34,2195.34,2153.51,2112,2061.43,2027.47,1986.2,1941.55
356.5000,2270.14,2279.21,2275.31,2238.76,2193.05,2150.12,2108.67,2058.04,2023.47,1981.07,1936.35
357.0000,2267.87,2277.28,2273.08,2235.43,2189.55,2146.55,2103.83,2053.63,2018.34,1976.21,1930.38
357.5000,2265.85,2274.97,2271.06,2231.84,2186.41,2142.98,2100.49,2049.85,2013.56,1971.36,1925.11
358.0000,2263.34,2271.16,2268.82,2227.78,2181.48,2137.77,2095.88,2044.35,2007.43,1964.53,1919.12
358.5000,2260.11,2266.99,2264.95,2223.03,2176.32,2132.56,2089.92,2038.46,2000.92,1957.95,1912.33
359.0000,2256.88,2263.51,2260.9,2217.89,2172.4,2127.33,2084.73,2033.29,1994.8,1951.85,1906.06
359.5000,2252.91,2258.55,2255.66,2213.05,2166.47,2121.19,2077.86,2026.13,1987.87,1945.38,1898.44
360.0000,2248.09,2253.72,2250.46,2207.6,2160.95,2114.68,2072.43,2020.22,1981.58,1938.87,1892.04
360.5000,2242.13,2247.8,2243.77,2200.9,2153.89,2108.44,2065.73,2013.81,1974.21,1930.94,1883.86
361.0000,2236.54,2241.98,2238.01,2194.62,2147.63,2101.84,2058.81,2007.14,1966.61,1923.48,1876.88
361.5000,2229.8,2233.97,2230.22,2186.12,2139.04,2093.4,2050.16,1998.79,1957.16,1913.64,1868.15
362.0000,2222.2,2226.38,2222.5,2177.54,2131.44,2085.64,2041.77,1990.01,1948.67,1905.11,1858.84
362.5000,2215.36,2219.65,2214.62,2169.79,2124.32,2077.88,2033.07,1981.37,1940.01,1896.88,1850.64
363.0000,2207.57,2212.05,2206.41,2161.06,2115.74,2068.75,2022.7,1971.9,1930.7,1887.3,1840.81
363.5000,2199.4,2203.96,2198.16,2153.05,2107.3,2060.31,2013.36,1963.12,1921.81,1878.13,1832.23
364.0000,2190.61,2194.36,2189.66,2143.66,2097.43,2050.67,2003.5,1953.64,1911.71,1867.67,1822.04
364.5000,2181.74,2185.87,2180.75,2134.22,2088.35,2041.43,1993.43,1944.29,1901.88,1858.25,1812.47
365.0000,2170.63,2174.21,2169.63,2122.57,2076.75,2028.98,1981.43,1933.15,1889.97,1846.37,1800.42
365.5000,2159.49,2162.97,2159.55,2111.78,2066.02,2017.57,1970.3,1921.61,1879.84,1835.58,1788.84
366.0000,2149.35,2153.18,2149.59,2101.66,2054.93,2006.41,1959.76,1909.97,1869.65,1825.26,1778.16
366.5000,2137.48,2141.18,2137.42,2089.66,2042.8,1993.98,1948.12,1897.63,1857.91,1812.84,1766.45
367.0000,2126.26,2130.04,2126.23,2078.37,2031.49,1981.53,1937.3,1886.11,1846.66,1801.53,1755.15
367.5000,2112.73,2115.38,2111.59,2063.44,2016.85,1966.2,1923.59,1871.58,1832.99,1786.92,1741.64
368.0000,2100.22,2102.08,2098.1,2049.62,2003.86,1953.45,1909.71,1858.14,1819.64,1774.23,1728.37
368.5000,2087.95,2089.31,2084.47,2036.78,1991.09,1941.45,1898.16,1846.07,1807.68,1762.29,1716.33
369.0000,2074.18,2075.18,2069.12,2022.21,1976.01,1927.42,1884.12,1831.74,1793.78,1748.1,1702.27
369.5000,2060.94,2062.48,2055.61,2008.29,1962.95,1914.57,1870.87,1818.6,1780.17,1735.54,1689.6
370.0000,2046.37,2047.57,2040.28,1993.67,1947.75,1899.22,1855.97,1804.55,1765.19,1720.71,1674.88
370.5000,2032.71,2033.06,2025.78,1980.32,1933.87,1885.44,1843.08,1791.53,1752.27,1706.86,1660.84
371.0000,2015.79,2015.75,2008.59,1962.9,1917.02,1868.23,1825.34,1774.53,1735.81,1689.81,1644.46
371.5000,2000.23,1999.28,1992.54,1946.43,1900.7,1852.56,1808.75,1758.66,1719.89,1674.89,1629.4
372.0000,1985.19,1984.18,1977.82,1931.61,1885.61,1837.87,1793.55,1744.34,1705.75,1660.55,1615.84
372.5000,1968.42,1967.79,1960.61,1914.5,1868.82,1820.39,1776.6,1727.75,1689.92,1644.37,1600.41
