XYDATA,BFII_nolipid-no_12-11-25-1,BFII_nolipid-no_12-11-25-2,BFII_nolipid-no_12-11-25-3,BFII_nolipid-no_12-11-25-4,BFII_nolipid-no_12-11-25-5,BFII_nolipid-no_12-11-25-6,BFII_nolipid-no_12-11-25-7,BFII_nolipid-no_12-11-25-8,BFII_nolipid-no_12-11-25-9,BFII_nolipid-no_12-11-25-10,BFII_nolipid-no_12-11-25-11
328.5000,1438.33,1423.25,1409.22,1396.03,1381.21,1363.95,1349.54,1329.21,1319.14,1302.61,1289.49
329.0000,1467.64,1452.62,1437.4,1423.93,1408.75,1391.11,1376.18,1355.64,1345.13,1329.01,1315.28
329.5000,1505.73,1491.05,1475.3,1460.76,1445.65,1427.46,1412.75,1391.76,1380.1,1364.17,1349.52
330.0000,1537.35,1523.03,1506.01,1491.01,1476.47,1457.61,1442.78,1421.56,1409.31,1392.59,1378.03
330.5000,1572.01,1557.35,1539.53,1524.09,1509.63,1490.48,1474.94,1453.86,1440.98,1423.69,1409.5
331.0000,1603.39,1588.31,1570.28,1554.09,1539.19,1520.31,1504.33,1483.01,1469.34,1452.16,1437.12
331.5000,1637.01,1622.4,1603.29,1587.55,1571.57,1551.61,1536.07,1514.1,1500.42,1483.21,1467.49
332.0000,1667.12,1653.32,1632.92,1617.74,1601.44,1579.77,1564.49,1542.37,1528.05,1511.14,1494.78
332.5000,1700.01,1685.45,1665,1649.35,1633.48,1610.82,1596.25,1573.39,1557.72,1541.14,1523.96
333.0000,1735.55,1720.13,1699.8,1683.74,1668.2,1644.36,1630.17,1607.13,1590.69,1573.12,1555.64
333.5000,1761.76,1746.45,1725.78,1708.75,1693.39,1668.95,1654.9,1631.84,1614.85,1596.86,1579.1
334.0000,1796.2,1780.62,1759.83,1742.2,1726.72,1701.17,1687.19,1663.5,1646.27,1627.91,1609.37
334.5000,1824.78,1809.02,1787.23,1769.8,1754.02,1728.37,1712.74,1689.41,1671.61,1653.44,1635.02
335.0000,1855.36,1838.55,1817.32,1799.07,1783.32,1757.46,1740.85,1718.32,1699.83,1681.04,1662.08
335.5000,1882.03,1865,1843.56,1825.08,1809.18,1782.27,1766.03,1743.5,1724.78,1705.64,1686.26
336.0000,1911.47,1894.39,1872.33,1853.72,1837.59,1810.46,1792.88,1770.62,1751.85,1731.85,1712.41
336.5000,1936.94,1919.72,1898.58,1878.49,1862.52,1834.67,1817.14,1795.16,1775.46,1755.65,1735.22
337.0000,1964.97,1947.72,1926.62,1905.96,1889.26,1861.1,1843.75,1821.29,1801.07,1781.53,1760.69
337.5000,1995.11,1977.28,1955.84,1934.93,1918.45,1889.42,1871.45,1849.05,1828.37,1808.83,1787.01
