XYDATA,TRP_lipid-000_12-11-25-1,TRP_lipid-005_12-11-25-1,TRP_lipid-010_12-11-25-1,TRP_lipid-015_12-11-25-1,TRP_lipid-020_12-11-25-1,TRP_lipid-025_12-11-25-1,TRP_lipid-030_12-11-25-1,TRP_lipid-035_12-11-25-1,TRP_lipid-040_12-11-25-1,TRP_lipid-045_12-11-25-1,TRP_lipid-050_12-11-25-1
407.5000,982.271,953.804,936.303,930.764,915.593,904.323,890.369,875.814,865.486,849.877,852.192
408.0000,965.448,936.876,920.009,915.257,899.866,889.095,874.634,860.795,851.109,835.471,837.659
408.5000,945.421,917.322,901.421,896.313,881.758,870.525,856.768,843.2,833.339,818.696,819.942
409.0000,930.817,902.901,887.265,882.15,868.009,856.933,843.504,830.319,820.352,806.162,807.177
409.5000,911.153,883.892,868.589,864.018,850.236,838.677,826.7,812.993,804.173,789.976,790.557
410.0000,895.313,868.502,853.385,849.268,835.323,824.065,812.251,798.94,790.221,777.109,777.137
410.5000,878.145,851.929,837.117,833.058,819.097,808.7,796.428,783.348,775.391,762.583,762.342
411.0000,859.484,833.765,819.087,815.478,801.738,791.792,779.618,767.18,758.917,746.524,746.654
411.5000,844.66,818.606,804.564,800.824,787.469,777.797,765.823,753.589,745.729,733.966,733.629
412.0000,828.003,802.623,788.297,785.321,771.901,762.446,750.766,738.622,731.349,719.813,719.473
412.5000,809.783,785.616,772.404,768.85,755.567,746.264,734.927,723.337,715.66,704.733,704.081
413.0000,794.144,769.911,757.678,753.6,740.724,731.424,721.009,708.722,701.606,691.414,690.272
413.5000,780.537,756.624,744.025,740.148,727.742,718.579,708.525,695.951,689.401,679.369,677.963
414.0000,763.636,740.652,728.248,724.149,712.234,703.484,693.443,680.901,674.67,665.119,663.847
414.5000,751.035,728.612,716.739,712.26,700.508,692.184,682.232,669.883,663.993,654.399,652.999
415.0000,734.99,713.123,700.918,696.907,685.532,677.552,667.737,655.813,650.126,640.324,639.249
415.5000,721.84,700.065,688.149,684.457,673.182,665.463,655.71,644.046,638.426,628.855,628.127
416.0000,707.388,685.959,674.276,670.93,659.658,652.088,642.802,631.462,625.873,616.641,615.779
416.5000,692.143,671.048,659.692,655.839,645.223,637.778,629.15,617.778,611.957,602.914,602.239
