XYDATA,BFII_lipid-000_12-11-25-1,BFII_lipid-005_12-11-25-1,BFII_lipid-010_12-11-25-1,BFII_lipid-015_12-11-25-1,BFII_lipid-020_12-11-25-1,BFII_lipid-025_12-11-25-1,BFII_lipid-030_12-11-25-1,BFII_lipid-035_12-11-25-1,BFII_lipid-040_12-11-25-1,BFII_lipid-045_12-11-25-1,BFII_lipid-050_12-11-25-1
328.5000,1508.95,1540.65,1542.39,1552.33,1550.37,1543.04,1535.55,1531.52,1538.13,1543.49,1541.01
329.0000,1539.39,1571.1,1572.32,1582.4,1579.64,1571.19,1562.61,1557.73,1563.83,1569.01,1565.54
329.5000,1580.35,1612.56,1612.65,1621.62,1618.08,1608.39,1598.89,1592.38,1598.35,1602.54,1597.71
330.0000,1614.46,1646.06,1646.05,1654.04,1650.06,1638.97,1628.26,1621.42,1626.01,1630.56,1624.65
330.5000,1652.31,1682.62,1682.47,1689.39,1684.72,1673.04,1660.75,1652.67,1656.27,1660.27,1653.83
331.0000,1685.79,1715.71,1714.99,1721.17,1714.88,1704.54,1689.77,1680.66,1683.74,1687.5,1680.5
331.5000,1722.37,1753.14,1750.66,1756.29,1748.65,1738.05,1721.72,1711.29,1713.91,1716.45,1708.56
332.0000,1755.26,1786.05,1782.35,1787.77,1778.33,1766.42,1750.08,1738.71,1741.2,1742.1,1734.33
332.5000,1791.56,1821.43,1817.81,1821.41,1810.79,1798.05,1780.29,1768.12,1770.31,1770.56,1760.9
333.0000,1829.5,1858.93,1855,1857.81,1845.85,1832.12,1812.8,1800.01,1801.59,1800.6,1790.75
333.5000,1857.27,1886.54,1882.04,1884.59,1872.17,1857.37,1837.11,1823.77,1824.42,1822.43,1812.57
334.0000,1894.75,1923.61,1918.8,1920.25,1906.04,1890.61,1868.83,1854.08,1854.02,1852.15,1840.41
334.5000,1925.11,1953.13,1947.95,1948.18,1934.47,1917.86,1893.98,1879.32,1878.31,1875.55,1863.44
335.0000,1958.38,1985.32,1979.7,1979.42,1965.05,1946.71,1921.98,1907.32,1904.34,1901.13,1887.98
335.5000,1988.16,2014.71,2008.23,2007.66,1991.45,1972.12,1946.58,1930.83,1927.94,1923.73,1909.53
336.0000,2020.4,2046.93,2039.51,2037.19,2019.26,2000.07,1973.53,1957.24,1952.83,1947.75,1933.33
336.5000,2048.6,2074.76,2066.41,2063.71,2044.8,2024.74,1997.58,1979.36,1974.38,1969.98,1954.22
337.0000,2079.08,2104.77,2095.73,2092.49,2072.65,2051.29,2022.69,2003.6,1998.47,1993.16,1976.08
337.5000,2112.1,2136.34,2126.53,2122.49,2102.14,2079.14,2049.04,2029.54,2023.04,2017.52,1998.69
338.0000,2135.44,2159.71,2148.95,2144.45,2123.54,2099.23,2068.49,2048.34,2041.39,2035.22,2016.09
338.5000,2166.13,2189.66,2179.28,2173.31,2151.49,2125.15,2094.75,2072.19,2065.21,2058.08,2038.17
339.0000,2191.19,2214.52,2202.82,2196.36,2173.47,2146.76,2114.84,2091.84,2083.33,2076.75,2056.2
339.5000,2218.15,2241.35,2228.79,2220.46,2197.15,2170,2136.94,2112.08,2103.31,2096.35,2075.53
340.0000,2241.36,2264.81,2251.3,2242.15,2218.42,2189.84,2156.44,2130.15,2120.48,2113.8,2092.42
340.5000,2266.98,2289.23,2275.01,2266.14,2240.43,2211.1,2176.71,2150,2139.91,2132.41,2110.25
341.0000,2288.39,2311.18,2295.77,2286.32,2259.86,2230.57,2193.94,2166.68,2156.45,2147.63,2125.7
341.5000,2311.58,2334.12,2317.86,2308.03,2280.58,2251.14,2212.59,2185.15,2173.72,2164.43,2141.65
342.0000,2335.87,2359.23,2341.03,2330.04,2303.23,2271.16,2232.84,2204.32,2191.26,2181.8,2158.79
342.5000,2354.1,2376.71,2357.79,2346.2,2319.09,2286.99,2246.63,2218.05,2204.37,2194.16,2170.3
343.0000,2377.94,2399.05,2379.39,2366.97,2338.44,2305.84,2264.64,2235.68,2220.35,2209.29,2185.87
343.5000,2395.99,2416.34,2397.61,2383.65,2354.41,2321.38,2278.5,2249.14,2233.01,2221.19,2197.6
344.0000,2415.81,2434.85,2415.57,2400.09,2371.03,2337.94,2293.04,2263.13,2246.61,2234.12,2209.58
344.5000,2432.93,2451.65,2431.13,2415.02,2385.5,2351.29,2306.24,2275.01,2257.4,2245.86,2219.52
345.0000,2451.06,2468.84,2447.84,2430.28,2400.48,2365.64,2319.8,2288.46,2269.47,2257.29,2230.01
345.5000,2466.13,2482.68,2461.21,2444.14,2413.21,2377.79,2331.07,2299.79,2279.61,2266.24,2239.64
346.0000,2480.92,2497.29,2476.2,2458.07,2427.19,2390.22,2342.61,2311.03,2289.62,2276.9,2248.74
346.5000,2497,2513.93,2492.06,2471.92,2440.21,2402.13,2354.99,2322.67,2300.54,2286.94,2258.48
347.0000,2510.52,2526.27,2504.11,2482.39,2449.78,2411.65,2364.06,2331.41,2308.31,2294.58,2265.6
347.5000,2523.86,2538.43,2516.09,2493.74,2460.12,2421.57,2373,2340.31,2316.01,2302.37,2272.45
348.0000,2534.67,2549.16,2526.55,2503.15,2469.1,2429.91,2380.77,2347.66,2322.9,2308.71,2278.17
348.5000,2544.81,2560.92,2536.93,2512.99,2478.53,2438.63,2389.27,2354.93,2330.29,2315.17,2283.86
349.0000,2554.08,2570.36,2545.8,2520.43,2486.74,2445.11,2396.98,2360.96,2336.16,2319.53,2287.57
349.5000,2563.82,2579.05,2554.27,2528.18,2494.83,2451.67,2402.19,2366.76,2341.72,2324.76,2291.93
350.0000,2574.25,2587.4,2563.02,2535.41,2502.56,2459.45,2408.08,2371.94,2346.49,2329.23,2295.75
350.5000,2580.86,2594.56,2568.27,2540.9,2508.2,2464.2,2412.69,2375.91,2350.17,2331.72,2298.36
351.0000,2588.21,2601.24,2574.26,2546.97,2513.87,2469.19,2416.84,2379.8,2353.89,2334.29,2300.67
351.5000,2594.41,2607.11,2579.28,2551.45,2518.11,2472.82,2419.44,2382.08,2355.84,2336.43,2301.21
352.0000,2600.4,2612.8,2584.38,2555.73,2521.96,2475.18,2422.72,2384.73,2357.34,2337.27,2302.46
352.5000,2605.09,2617.74,2588.02,2559.69,2524.63,2476.88,2424.35,2386.25,2358.06,2338.02,2302.22
353.0000,2609.64,2621.69,2591.58,2563,2527.37,2478.44,2425.12,2387.05,2358.17,2337.92,2301.75
353.5000,2612.07,2623.74,2594.11,2564.68,2529.41,2479.78,2425.54,2387.66,2357.83,2337.72,2301.15
354.0000,2614.07,2625.41,2595.53,2566.73,2531.16,2480.51,2426.48,2387.14,2357.57,2337.42,2299.13
354.5000,2615.65,2626.5,2597.38,2567.09,2531.82,2480.26,2425.85,2386.47,2356.77,2336.17,2296.82
355.0000,2616.86,2627.31,2597.02,2567.67,2530.76,2479.14,2425.22,2384.98,2354.9,2334.35,2295.41
355.5000,2616.43,2627.12,2596.44,2566.66,2529.29,2477.55,2423.69,2382.34,2352.31,2331.02,2293.04
356.0000,2616.82,2627.17,2595.35,2565.4,2527.52,2476.36,2421.21,2380.36,2348.91,2327.95,2289.79
356.5000,2615.91,2626.08,2593.69,2563.33,2524.83,2473.44,2417.92,2377.88,2345.41,2324.38,2284.99
357.0000,2614.46,2624.38,2591.52,2561.09,2522.03,2470.17,2414.9,2374.18,2341.69,2320.78,2279.61
357.5000,2612.64,2621.2,2588.68,2558.53,2519.12,2466.52,2411.01,2370.53,2337.87,2316.21,2274.59
358.0000,2610.5,2617.77,2584.84,2554.47,2514.82,2462.63,2406.13,2365.65,2332.61,2309.52,2267.94
358.5000,2606.72,2612.76,2580.41,2549.09,2509.87,2457.03,2400,2359.66,2326.26,2302.96,2261.27
