XYDATA,BFII_nolipid-no_12-11-25-1,BFII_nolipid-no_12-11-25-2,BFII_nolipid-no_12-11-25-3,BFII_nolipid-no_12-11-25-4,BFII_nolipid-no_12-11-25-5,BFII_nolipid-no_12-11-25-6,BFII_nolipid-no_12-11-25-7,BFII_nolipid-no_12-11-25-8,BFII_nolipid-no_12-11-25-9,BFII_nolipid-no_12-11-25-10,BFII_nolipid-no_12-11-25-11
358.5000,2862.46,2838.81,2805.5,2802.46,2761.77,2717.57,2689.25,2644.41,2619.65,2586.72,2571.46
359.0000,2858.83,2835.45,2800.5,2797.89,2757.78,2713.83,2684.86,2640.51,2615.56,2583.96,2567.56
359.5000,2853.66,2829.14,2795.77,2792.75,2753.32,2708.64,2679.75,2635.22,2610.55,2578.65,2563.1
360.0000,2848.72,2823.56,2790.7,2787.67,2747.54,2703.24,2674.5,2629.64,2605.51,2574.37,2558.9
360.5000,2842.14,2817.11,2784.35,2781.29,2740.94,2697.51,2669.35,2623.33,2599.48,2568.21,2552.86
361.0000,2834.96,2810.59,2777.99,2775.14,2734.56,2691.79,2663.84,2616.81,2592.98,2562.46,2547.01
361.5000,2826.36,2802.81,2769.6,2766.68,2726.13,2682.63,2656.12,2608.28,2586.54,2553.75,2539.32
362.0000,2817.98,2794.35,2760.79,2757.36,2717.41,2674.23,2647.24,2599.33,2578.5,2546.64,2531.84
362.5000,2809.6,2785.68,2751.95,2749.37,2708.83,2665.92,2638.52,2590.63,2570.48,2539.42,2523.96
363.0000,2799.09,2776.17,2742.58,2739.83,2698.72,2656.57,2629.37,2581.65,2561.91,2530.03,2515.11
363.5000,2788.64,2766.82,2733.15,2730.26,2689.69,2647.35,2620.65,2572.95,2553.05,2521.11,2506.98
364.0000,2778.17,2755.39,2721.71,2719.58,2678.83,2637.05,2610.85,2562.65,2542.33,2510.7,2496.5
364.5000,2767.91,2745.16,2710.86,2708.84,2668.24,2627.35,2600.54,2552.28,2532.17,2501.25,2487.21
365.0000,2753.63,2732.15,2698.83,2695.36,2655.86,2614.63,2588.35,2539.63,2519.52,2488.07,2474.64
365.5000,2740.63,2718.28,2685.4,2682.52,2642.81,2601.79,2576.2,2527.89,2507.14,2476.01,2462.9
366.0000,2728.64,2705.84,2673.2,2669.97,2630.42,2590.19,2564.41,2516.52,2496.03,2465.28,2451.33
366.5000,2714.48,2691.49,2659.02,2655.32,2616.25,2576.74,2551.18,2503.67,2482.06,2452.79,2438.14
367.0000,2700.4,2677.7,2645.44,2642.63,2603.06,2563.19,2537.76,2490.35,2469.2,2440.77,2425.05
367.5000,2682.92,2660.46,2628.57,2625.56,2586.23,2547.44,2520.99,2473.98,2453.32,2425.17,2409.5
368.0000,2666.39,2643.94,2612.32,2609.49,2571.03,2531.47,2505.52,2458.23,2438.33,2410.42,2394.54
368.5000,2650.81,2628.59,2597.23,2595.17,2556.72,2516.48,2490.88,2443.62,2424.18,2395.91,2380.37
369.0000,2633.52,2611.63,2579.28,2577.16,2539.91,2500.03,2474.5,2426.98,2407.98,2379.73,2365.39
369.5000,2616.23,2595.28,2562.52,2561.6,2523.09,2484.64,2459.14,2412.15,2393.22,2365.81,2350.27
370.0000,2596.98,2576.81,2543.9,2542.89,2505.26,2467.68,2440.91,2395.14,2375.59,2349.08,2334.02
370.5000,2579.1,2559.32,2526.69,2526.11,2488.68,2451.33,2423.75,2379,2359.69,2333.27,2317.83
371.0000,2558.06,2538.69,2505.89,2504.92,2466.66,2430.3,2403.38,2360.08,2340.27,2314.2,2297.65
371.5000,2538.02,2518.92,2486.11,2485.2,2447.43,2411.41,2384.72,2341.98,2321.17,2295.57,2279.86
372.0000,2519.46,2500,2467.79,2466.38,2429.96,2392.96,2367.4,2324.82,2303.79,2278.29,2263.11
