XYDATA,BFII_nolipid-no_12-15-25-1,BFII_nolipid-no_12-15-25-2,BFII_nolipid-no_12-15-25-3,BFII_nolipid-no_12-15-25-4,BFII_nolipid-no_12-15-25-5,BFII_nolipid-no_12-15-25-6,BFII_nolipid-no_12-15-25-7,BFII_nolipid-no_12-15-25-8,BFII_nolipid-no_12-15-25-9,BFII_nolipid-no_12-15-25-10,BFII_nolipid-no_12-15-25-11
329.0000,1467.87,1400.89,1158.33,1264.09,1289.51,1287.13,1277.97,1260.83,1246.62,1231.84,1228.83
329.5000,1506.7,1437.54,1188.25,1296.79,1323.27,1320.36,1310.94,1293.42,1279.25,1264.61,1260.74
330.0000,1538.97,1467.17,1213.29,1324.85,1350.92,1348.92,1338.1,1320.75,1306.12,1291.29,1286.94
330.5000,1574.29,1500.01,1240.31,1354.78,1380.94,1379.73,1368.32,1349.97,1335.57,1320.41,1315.63
331.0000,1605.42,1530.52,1264.91,1381.39,1408.5,1407.63,1395.55,1376.63,1362.2,1347.08,1342.04
331.5000,1639.32,1563.19,1291.53,1410.4,1438.68,1437.76,1425.23,1405.8,1391.51,1375.87,1370.79
332.0000,1670.2,1592.99,1315.48,1436.45,1465.72,1464.72,1451.64,1431.99,1417.39,1401.22,1396.64
332.5000,1703.99,1625.84,1341.78,1465.4,1494.77,1494.26,1480.69,1459.96,1445.84,1428.96,1424.97
333.0000,1740.01,1660.63,1369.49,1495.68,1526.4,1525.85,1512.28,1490.63,1476.18,1458.5,1454.78
333.5000,1766.89,1685.87,1390.46,1518.85,1549.78,1548.89,1535.23,1513.01,1498.9,1480.87,1476.81
334.0000,1802.41,1719.18,1417.24,1548.29,1580.1,1579.45,1565.25,1541.8,1528.6,1509.93,1505.5
334.5000,1830.89,1746.07,1439.37,1572.02,1604.41,1604.24,1589.95,1566.36,1552.58,1533.93,1529.11
335.0000,1862.35,1774.84,1462.81,1598.21,1630.9,1631.13,1616.46,1593.22,1578.87,1559.42,1554.39
335.5000,1889.54,1800.55,1484.07,1620.68,1654.8,1655.15,1640.65,1616.5,1602.1,1581.91,1577.05
336.0000,1919.77,1828.36,1506.8,1645.07,1680.71,1681.28,1666.98,1641.62,1627.47,1606.31,1601.66
336.5000,1946.36,1853.67,1527.62,1667.49,1703.51,1704.51,1689.74,1664.48,1649.9,1628.25,1623.39
337.0000,1975.54,1882.07,1549.45,1692.17,1728.3,1728.91,1714.11,1688.51,1673.82,1651.98,1646.65
337.5000,2006.16,1911.53,1573.17,1717.25,1755.06,1756,1739.46,1714.22,1699.35,1676.95,1671.96
338.0000,2027.87,1933.09,1590.61,1736.46,1774.37,1775.14,1758.26,1733.38,1718.22,1695.75,1690.05
338.5000,2056.97,1960.37,1612.42,1761.26,1799.74,1800.79,1783.17,1757.47,1742.68,1719.11,1713.56
339.0000,2080.28,1982.83,1630.92,1780.67,1819.77,1820.78,1803.18,1777.3,1762.56,1738.63,1731.25
339.5000,2105.72,2007.11,1650.51,1801.58,1841.5,1842.14,1824.16,1798.83,1783.73,1759.45,1751.01
