XYDATA,BFII_lipid-000_12-15-25-1,BFII_lipid-004_12-15-25-1,BFII_lipid-008_12-15-25-1,BFII_lipid-012_12-15-25-1,BFII_lipid-016_12-15-25-1,BFII_lipid-020_12-15-25-1,BFII_lipid-024_12-15-25-1,BFII_lipid-028_12-15-25-1,BFII_lipid-032_12-15-25-1,BFII_lipid-036_12-15-25-1,BFII_lipid-040_12-15-25-1
329.0000,1421.65,1398.08,1404.31,1291.74,1359.79,1377.9,1388.07,1391.2,1397.5,1397.74,1393.17
329.5000,1459.66,1434.01,1439.26,1322.23,1390.66,1408.56,1417.67,1420.2,1425.51,1424.53,1419.5
330.0000,1491.06,1464.07,1468.04,1347.13,1416.26,1433.51,1442.08,1443.92,1448.64,1447.14,1441.17
330.5000,1525.7,1496.69,1500.33,1374.81,1444.56,1460.43,1468.29,1469.5,1473.29,1471.28,1464.03
331.0000,1555.94,1525.3,1528.52,1399.4,1468.81,1485.16,1491.65,1492.77,1495.44,1492.97,1484.46
331.5000,1589.05,1556.4,1559.42,1426.79,1496.21,1512.97,1517.47,1517.83,1519.56,1516.61,1506.86
332.0000,1618.98,1584.98,1586.61,1450.89,1520.48,1536.56,1540.13,1540.04,1541.45,1537.61,1526.99
332.5000,1652.23,1616.47,1616.65,1477.19,1546.19,1563.81,1564.82,1564.76,1564.62,1560.16,1549.24
333.0000,1687.42,1649.67,1648.69,1505.02,1574.56,1591.8,1590.84,1590.93,1589.86,1584.04,1572.64
333.5000,1713.33,1674.48,1672.33,1526.05,1595.83,1612.8,1611.04,1610.23,1608.2,1601.64,1588.75
334.0000,1747.87,1707.13,1703.87,1553.91,1623.27,1639.01,1637.18,1634.63,1631.63,1625.25,1610.58
334.5000,1775.37,1733.14,1729.96,1576.65,1645.94,1660.94,1657.8,1654.88,1651.34,1644.28,1628.92
335.0000,1805.8,1761.94,1758.02,1600.28,1670.17,1684.38,1680.47,1676.85,1672.47,1664.81,1647.44
335.5000,1832.38,1787.15,1782.05,1622.04,1691.93,1705.18,1700.33,1695.74,1691.35,1682.39,1664.1
336.0000,1861.88,1814.03,1808.72,1645.16,1714.93,1728.18,1722.21,1716.35,1711.59,1700.85,1682.18
