XYDATA,TRP_lipid-000_12-15-25-1,TRP_lipid-004_12-15-25-1,TRP_lipid-008_12-15-25-1,TRP_lipid-012_12-15-25-1,TRP_lipid-016_12-15-25-1,TRP_lipid-020_12-15-25-1,TRP_lipid-024_12-15-25-1,TRP_lipid-028_12-15-25-1,TRP_lipid-032_12-15-25-1,TRP_lipid-036_12-15-25-1,TRP_lipid-040_12-15-25-1
328.5000,1775.98,1694.97,1627.52,1519.99,1560.36,1549.7,1541.53,1520.67,1500.4,1483.75,1470.7
329.0000,1811.08,1727.45,1659.51,1549.37,1591.01,1580.06,1571.37,1550.05,1529.28,1511.66,1499.57
329.5000,1856.76,1771.88,1701.6,1588.67,1631.56,1620.12,1610.34,1589.54,1567.43,1550.19,1536.31
330.0000,1895.23,1808.47,1737.14,1620.94,1664.87,1653.37,1643.42,1621.41,1599.44,1581.96,1567.43
330.5000,1937.12,1848.51,1775.84,1656.86,1701.57,1689.89,1678.65,1656.69,1634.23,1616.82,1601.89
331.0000,1974.78,1884.85,1810.05,1688.67,1733.9,1722.89,1711.08,1688.9,1665.81,1648.91,1633.08
331.5000,2016.34,1924.98,1847.56,1723.68,1769.43,1758.37,1746.01,1723.66,1701.06,1682.89,1666.53
332.0000,2053.52,1959.91,1881.27,1755.03,1801.39,1790.2,1778.25,1755,1731.96,1713.22,1696.12
332.5000,2093.63,1998.82,1918.72,1789.26,1836.02,1825.32,1812.98,1788.73,1765.77,1746.45,1729.39
333.0000,2136.78,2040.52,1958.53,1826.27,1873.68,1863.65,1850,1825.48,1801.38,1782.29,1764.78
333.5000,2168.77,2071.12,1989.06,1853.57,1901.36,1891.31,1878.16,1851.94,1829.31,1809.07,1791.19
334.0000,2211.8,2111.72,2027.05,1889.53,1938.1,1927.73,1913.9,1887.74,1864.97,1843.59,1825.52
334.5000,2246.53,2144.86,2058.19,1919.07,1968.33,1958.06,1943.69,1917.04,1894.11,1872.68,1853.69
335.0000,2284.35,2181.5,2093.17,1951.6,2001.63,1990.31,1975.49,1948.55,1925.03,1903.24,1883.88
335.5000,2317.97,2213.56,2124.25,1980.21,2031,2018.77,2003.84,1976.78,1952.72,1930.92,1910.3
336.0000,2353.89,2248.2,2158,2011.45,2062.26,2050.07,2035.13,2007.77,1983.81,1960.76,1939.79
336.5000,2386.08,2278.84,2187.6,2038.48,2090.07,2077.62,2063.28,2035.07,2011.66,1987.48,1965.91
337.0000,2421.58,2312.03,2219.63,2068.86,2119.19,2107.87,2093.71,2064.57,2040.32,2016.26,1994.04
337.5000,2459.26,2347.64,2254.03,2099.57,2152.13,2139.42,2125.36,2096.43,2071.04,2046.41,2024.01
338.0000,2486.33,2373.32,2279.21,2122.04,2175.71,2162.63,2148.31,2120.51,2093.9,2068.99,2045.99
338.5000,2521.77,2407.67,2311.7,2151.58,2205.9,2192.89,2179.15,2150.46,2123.21,2098.55,2074.6
339.0000,2550.91,2436.04,2338.92,2175.68,2230.63,2217.15,2203.66,2175.17,2146.88,2122.35,2098.3
339.5000,2582.31,2465.89,2366.68,2202.69,2257.67,2243.64,2230.58,2201.62,2172.81,2147.72,2123.92
340.0000,2610.29,2492.74,2391.3,2225.24,2281.4,2267.75,2254.21,2223.9,2195.75,2170.58,2145.64
340.5000,2639.83,2520.93,2417.42,2250.05,2306.81,2292.72,2278.78,2248.06,2220.9,2195.28,2169
341.0000,2665.51,2545.42,2440.05,2272.17,2328.42,2314.7,2301.5,2269.81,2242.59,2216.23,2189.3
341.5000,2693.04,2572.26,2464.71,2295.04,2352.18,2337.96,2324.97,2293.04,2265.83,2238.85,2211.93
342.0000,2723.03,2600.06,2490.81,2319.18,2378.1,2362.97,2349.92,2317.43,2289.84,2261.43,2235.67
342.5000,2743.76,2619.66,2509.3,2336.55,2396.54,2380.79,2368.38,2335.14,2307.39,2278.82,2252.26
343.0000,2770.15,2645.87,2534.66,2357.81,2419.84,2404.41,2390.76,2357.81,2329.48,2301.22,2274.06
343.5000,2792.57,2665.96,2554.88,2375.52,2437.41,2423.09,2409.36,2376.08,2346.76,2319.01,2291.06
344.0000,2814.84,2687.49,2576.11,2394.66,2457.07,2443.04,2429.16,2395.15,2365.75,2337.73,2309.87
344.5000,2834.13,2707.28,2594.38,2411.39,2473.88,2459.56,2445.37,2412.41,2382.22,2353.93,2326.15
345.0000,2855.57,2728.14,2613.46,2429.2,2491.85,2477.09,2463.75,2430.61,2399.81,2371.48,2343.47
345.5000,2874.06,2745.67,2630.29,2444.22,2507.46,2492.11,2479.48,2445.78,2414.63,2385.46,2358.37
346.0000,2893.27,2764.62,2647.8,2459.58,2524.22,2508.28,2495.73,2461.84,2430.36,2400.39,2374.16
346.5000,2914.25,2784.22,2666.11,2476.94,2540.32,2525.33,2511.64,2478.29,2447.37,2416.32,2390.42
347.0000,2930.13,2799.4,2679.64,2490.15,2552.76,2538.46,2524.68,2491.18,2460.23,2429.04,2403.06
347.5000,2947.84,2815.36,2694.53,2503.65,2565.88,2552.4,2538.55,2505.1,2473.49,2442.13,2416.8
348.0000,2961.52,2828.8,2706.92,2515.71,2577.36,2564.07,2550.1,2516.84,2484.85,2453.42,2427.77
348.5000,2977.13,2842.5,2720.05,2527.39,2589.19,2575.78,2563.15,2528.93,2496.79,2464.52,2439.1
349.0000,2989.13,2853.62,2731.44,2537.62,2599.74,2585.53,2573.49,2539.31,2507.07,2474.43,2448.23
349.5000,3000.95,2864.82,2742.55,2548.24,2610.54,2595.94,2584.47,2550.79,2516.65,2484.96,2458.46
350.0000,3013.93,2877.07,2755.41,2558.78,2621.5,2606.5,2594.35,2560.62,2526.32,2495.63,2468.89
350.5000,3024.66,2885.52,2763.98,2566.87,2629.19,2614.56,2602.15,2569.5,2534.34,2502.88,2476.12
351.0000,3034.73,2895.35,2772.89,2574.43,2637.31,2623.09,2610.14,2578.14,2542.68,2510.74,2483.28
351.5000,3042.7,2903.53,2779.91,2580.46,2644.43,2629.72,2616.86,2585.52,2548.39,2516.84,2489.33
352.0000,3050.38,2911.15,2787.68,2587.01,2651.37,2636.53,2624.12,2592.71,2554.09,2523.71,2496.02
352.5000,3057.45,2917.94,2793.98,2592.25,2656.79,2641.95,2629.77,2598.35,2559.22,2529.13,2501.37
353.0000,3063.84,2923.68,2799.06,2596.75,2662.04,2647.53,2635.91,2604.35,2564.64,2534.44,2506.89
353.5000,3068.57,2928.55,2803.36,2600.67,2666.14,2652.39,2640.09,2608.52,2569.18,2537.96,2511.67
354.0000,3073.63,2932.89,2807.69,2604.71,2670.68,2656.87,2644.87,2612.49,2572.53,2541.41,2515.6
