XYDATA,TRP_lipid-000_12-11-25-1,TRP_lipid-005_12-11-25-1,TRP_lipid-010_12-11-25-1,TRP_lipid-015_12-11-25-1,TRP_lipid-020_12-11-25-1,TRP_lipid-025_12-11-25-1,TRP_lipid-030_12-11-25-1,TRP_lipid-035_12-11-25-1,TRP_lipid-040_12-11-25-1,TRP_lipid-045_12-11-25-1,TRP_lipid-050_12-11-25-1
439.0000,264.422,256.486,255.107,253.614,248.384,246.714,247.075,245.746,244.935,241.503,240.822
439.5000,258.289,250.514,249.617,247.953,242.893,241.515,241.578,240.517,239.692,236.437,235.956
440.0000,251.993,244.547,243.52,241.906,237.211,235.692,235.734,234.757,234.359,230.784,230.461
440.5000,246.982,239.498,238.609,236.782,232.528,230.815,231.326,230.202,229.782,226.362,225.884
441.0000,241.47,234.447,233.644,231.495,227.508,225.872,226.228,224.999,224.751,221.589,221.13
441.5000,235.661,228.917,227.869,225.929,222.471,220.714,220.847,219.586,219.496,216.583,216.086
442.0000,230.944,224.243,223.405,221.487,218.205,216.47,216.056,215.261,215.363,212.537,211.917
442.5000,225.756,219.387,218.521,216.611,213.17,211.814,211.515,210.76,210.811,207.988,207.743
443.0000,220.124,214.133,213.229,211.624,208.134,206.691,206.337,205.996,205.922,203.515,202.935
443.5000,215.513,209.874,209.162,207.505,204.056,202.751,202.206,202.142,202.021,199.54,199.376
444.0000,210.365,204.98,204.31,202.653,199.494,198.175,197.544,197.756,197.677,194.996,195.001
444.5000,205.4,200.18,199.512,197.99,194.89,193.698,193.04,193.328,193.208,190.699,190.859
445.0000,200.332,195.363,194.63,193.527,190.322,189.25,188.396,188.66,188.535,186.005,186.471
445.5000,196.113,191.285,190.715,189.709,186.474,185.591,184.579,184.896,184.93,182.375,182.99
446.0000,191.798,186.987,186.584,185.598,182.233,181.571,180.541,180.92,181.057,178.67,179.283
446.5000,187.116,182.463,182.197,181.238,177.846,177.129,176.398,176.7,176.816,174.342,175.329
447.0000,183.347,178.937,178.501,177.251,174.421,173.559,172.903,173.234,173.314,171.089,171.833
447.5000,179.31,174.8,174.639,173.215,170.86,169.832,169.298,169.54,169.678,167.576,168.346
448.0000,174.881,170.415,170.433,168.802,166.654,165.708,165.499,165.758,165.742,163.489,164.265
448.5000,171.255,167.017,167.01,165.363,163.459,162.649,162.122,162.481,162.67,160.23,161.389
449.0000,167.385,163.433,163.399,161.524,159.973,159.197,158.501,158.88,159.196,157.088,158.042
449.5000,163.215,159.636,159.448,157.462,156.08,155.38,154.776,155.209,155.575,153.545,154.375
450.0000,159.98,156.269,156.459,154.166,152.968,152.22,151.606,152.049,152.513,150.573,151.357
