XYDATA,BFII_lipid-000_12-11-25-1,BFII_lipid-005_12-11-25-1,BFII_lipid-010_12-11-25-1,BFII_lipid-015_12-11-25-1,BFII_lipid-020_12-11-25-1,BFII_lipid-025_12-11-25-1,BFII_lipid-030_12-11-25-1,BFII_lipid-035_12-11-25-1,BFII_lipid-040_12-11-25-1,BFII_lipid-045_12-11-25-1,BFII_lipid-050_12-11-25-1
328.5000,1510.46,1539.95,1556.87,1566.59,1571.15,1556.33,1561.89,1561.1,1562.47,1554.21,1553.81
329.0000,1542.15,1571.17,1587.53,1596.02,1600.7,1584.67,1589.42,1587.78,1589.25,1579.45,1578.74
329.5000,1583.12,1612.08,1627.88,1636.17,1639.29,1622.4,1626.42,1623.33,1623.94,1613.56,1611.39
330.0000,1617.5,1646.83,1660.49,1668.45,1671.07,1653.8,1656.37,1652.69,1652.59,1641.38,1638.49
330.5000,1655.54,1684.78,1696.76,1704.04,1705.72,1687.73,1689.83,1685.05,1684.02,1672.29,1667.27
331.0000,1689.38,1718.42,1729.83,1736.73,1736.66,1718.27,1719.28,1714.14,1712.57,1699.72,1693.91
331.5000,1725.83,1754.47,1766.01,1771.96,1770.86,1752,1751.62,1745.6,1742.94,1729.67,1722.26
332.0000,1758.81,1787.54,1798.2,1803.11,1800.51,1781.08,1781.06,1773.65,1770.45,1756.18,1747.81
332.5000,1794.46,1823.66,1834.01,1836.7,1833.25,1813.1,1812.69,1804.64,1800.07,1784.79,1775.34
333.0000,1833.04,1862.19,1870.42,1873.67,1868.45,1847.27,1846.21,1837.63,1831.94,1815.33,1805.14
333.5000,1861.34,1890.58,1898.28,1901.35,1894.82,1872.6,1870.73,1861.69,1854.62,1837.75,1826.57
334.0000,1899.6,1928.53,1934.06,1937.06,1928.38,1905.7,1903.8,1893.21,1884.66,1867.52,1854.46
334.5000,1930.46,1958.06,1964.21,1966.73,1956.04,1932.75,1930.01,1919.22,1909.43,1891.71,1877.42
335.0000,1964.07,1990.39,1996.2,1997.61,1986.76,1961.82,1958.79,1947.76,1936.48,1917.75,1902.41
335.5000,1993.45,2019.8,2025.09,2025.04,2013.6,1988.03,1984.38,1972.23,1960.36,1940.99,1924.16
336.0000,2025.62,2051.71,2056.38,2054.87,2042.68,2016.1,2011.95,1998.07,1985.41,1965.56,1948.08
336.5000,2053.56,2080.44,2083.92,2081.88,2068.91,2040.4,2036.25,2021.82,2008.31,1988.15,1968.62
337.0000,2083.98,2111.21,2114,2110.57,2096.6,2066.52,2062.94,2046.9,2032.66,2011.65,1990.92
337.5000,2116.7,2143.8,2145.82,2141.53,2125.65,2095.02,2091.04,2073.41,2057.59,2035.1,2014.33
338.0000,2140.35,2168.3,2168.92,2163.85,2147.77,2115.36,2111,2092.72,2076.96,2052.2,2032.02
338.5000,2171.32,2200,2199,2192.72,2175.78,2141.38,2137.75,2116.78,2101.72,2075.6,2054.77
339.0000,2196.43,2225.13,2223.19,2215.89,2199.04,2163.51,2159,2137.48,2120.79,2094.75,2073.37
339.5000,2224.01,2251.8,2249.41,2241.25,2223.36,2186.6,2180.84,2159.04,2141.7,2114.79,2092.31
340.0000,2247.78,2275.39,2272.62,2263.31,2245.26,2206.13,2200.56,2178.28,2160,2131.76,2108.7
340.5000,2272.97,2301.21,2297.13,2286.88,2268.26,2227.72,2221.48,2198.98,2179.11,2150.53,2126.1
341.0000,2295.06,2323.39,2318.27,2307.14,2288.21,2246.62,2239.53,2216.27,2195.83,2166.89,2141.64
341.5000,2318.56,2346.6,2341.32,2328.84,2309.96,2265.36,2259.37,2235.04,2213.85,2183.72,2157.95
342.0000,2344.33,2371.49,2365.56,2351.72,2331.93,2287.54,2279.18,2254.36,2232.25,2201.24,2174.62
342.5000,2363.14,2389.23,2383.67,2368.09,2347.49,2302.99,2293.37,2268.55,2245.8,2213.68,2187.47
343.0000,2387.08,2412.04,2405.47,2388.47,2367.02,2321.83,2312.38,2285.56,2262.73,2229.04,2203.48
343.5000,2405.28,2430.53,2423.2,2406.6,2382.77,2336.99,2326.65,2299.77,2276.17,2241.56,2215.76
344.0000,2423.85,2449.62,2441.49,2424.55,2400.26,2353.11,2342.27,2314.3,2290.2,2254.77,2228.23
344.5000,2441.35,2465.91,2457.72,2439.89,2414.13,2366.9,2355.47,2327.14,2302.31,2265.48,2238.52
345.0000,2458.8,2483.94,2474.88,2455.91,2429.83,2381.42,2368.5,2339.39,2314.7,2276.73,2248.84
345.5000,2474.29,2498.42,2489.41,2469.86,2442.97,2394.57,2379.67,2350.57,2324.51,2286.52,2257.98
346.0000,2490.07,2514.3,2504.94,2484.2,2457.34,2407.8,2391.5,2361.95,2335.16,2296.44,2267.59
346.5000,2506.64,2530.04,2520.92,2498.54,2470.58,2420.67,2403.25,2373.55,2345.88,2308.55,2276.38
347.0000,2518.73,2542.87,2532.53,2510.26,2480.99,2430.45,2413.19,2382.87,2353.85,2316.02,2283.42
347.5000,2532.26,2556.24,2545.05,2521.99,2491.97,2440.79,2422.06,2391.64,2362.68,2323.36,2290.38
348.0000,2542.97,2566.92,2556.43,2532.44,2501.16,2448.98,2429.68,2399.78,2369.21,2330.21,2296.12
348.5000,2554.19,2578.1,2567.51,2542.3,2510.75,2458.19,2437.69,2407.74,2375.66,2335.9,2302.05
349.0000,2563.88,2587.42,2576.81,2550.46,2518.68,2465.77,2444.51,2413.52,2380.87,2340.78,2305.98
349.5000,2573.3,2597.55,2586.6,2560.01,2526.83,2472.82,2451.37,2419.61,2386.56,2345.09,2310.77
350.0000,2583.45,2606.58,2595,2568.84,2534.81,2479.74,2457.29,2425.37,2391.98,2348.72,2314.58
350.5000,2591.24,2613.54,2600.76,2575.3,2540.48,2484.69,2461.9,2428.79,2395.78,2351.67,2317.56
351.0000,2598.77,2620.62,2607.8,2581.36,2546.14,2489.94,2466.4,2432.16,2399.02,2354.37,2320.8
351.5000,2604.68,2626.07,2613.73,2585.26,2550.29,2493.71,2469.73,2435.1,2402.26,2356.18,2322.66
352.0000,2610.09,2630.66,2619.61,2589.61,2555.69,2497.87,2472.34,2437.85,2405.04,2357.23,2323.57
352.5000,2614.69,2636.28,2623.29,2592.68,2558.01,2500.56,2474.8,2439.28,2406.35,2357.55,2323.58
353.0000,2619.24,2641.43,2626.87,2596.27,2560.46,2503.15,2476.21,2440.23,2406.82,2357.89,2322.82
