XYDATA,TRP_lipid-000_12-11-25-1,TRP_lipid-005_12-11-25-1,TRP_lipid-010_12-11-25-1,TRP_lipid-015_12-11-25-1,TRP_lipid-020_12-11-25-1,TRP_lipid-025_12-11-25-1,TRP_lipid-030_12-11-25-1
341.5000,2620.41,2542.45,2476.34,2443.97,2390.57,2391.41,2352.44
342.0000,2648.58,2569.98,2503.04,2469.9,2415.65,2417.38,2377.46
342.5000,2668.73,2590.55,2522.92,2489.8,2433.98,2435.21,2395.33
343.0000,2694.33,2615.79,2547.8,2513.74,2457,2458.51,2418.69
343.5000,2714.65,2635.41,2568.43,2532.91,2476.3,2477.33,2437.26
344.0000,2737.13,2656.61,2590.06,2553.36,2497.51,2497.29,2457.11
344.5000,2756.19,2675.38,2608.68,2570.95,2515.12,2514.72,2474.46
345.0000,2777.2,2695.13,2628.32,2589.73,2533.69,2532.94,2492.77
345.5000,2794.47,2712.67,2644.69,2605.35,2550.49,2548.38,2508.9
346.0000,2812.78,2730.62,2661.93,2622.16,2567.93,2565.07,2525.36
346.5000,2831.59,2749.12,2680.45,2638.98,2585.69,2582.38,2542.3
347.0000,2846.36,2763.88,2693.94,2652.67,2598.78,2595.86,2555.36
347.5000,2862.26,2779.07,2708.45,2667.35,2612.89,2610.26,2568.87
348.0000,2876.07,2791.86,2721.68,2680.46,2625.38,2622.69,2580.72
348.5000,2889.62,2805.51,2735.27,2693.68,2639.31,2635.42,2593.3
349.0000,2900.96,2816.32,2747.13,2704.54,2649.55,2646.05,2603.53
349.5000,2913.23,2828.36,2758.92,2715.71,2660.87,2657.59,2614.51
350.0000,2925.32,2839.71,2770.64,2726.82,2672.06,2669.98,2624.94
350.5000,2934.64,2848.4,2779.8,2735.15,2680.85,2679.88,2634.27
351.0000,2944.72,2857.29,2789.32,2744.26,2689.16,2689.46,2643.55
351.5000,2952.43,2864.47,2796.32,2751.26,2695.89,2696.34,2650.47
352.0000,2960.31,2872.35,2803.29,2758.18,2702.81,2703.6,2657.33
352.5000,2966.05,2878.41,2808.88,2764.06,2707.81,2709.79,2662.37
353.0000,2971.92,2884.04,2813.69,2770.15,2713.04,2714.85,2666.87
353.5000,2976.19,2887.97,2818.72,2774.42,2716.67,2719.07,2670.67
354.0000,2980.61,2893.14,2823.03,2778.33,2720.97,2722.96,2675.19
354.5000,2984.96,2897.26,2826.23,2781.9,2724.24,2725.93,2679.19
355.0000,2987.99,2899.78,2829.35,2783.82,2726.54,2727.61,2681.22
355.5000,2990.69,2902.13,2831.2,2785.48,2728.54,2729.87,2683.57
356.0000,2992.36,2903.12,2832.59,2786.89,2730.27,2731.07,2684.73
356.5000,2992.45,2903.52,2833.64,2788.34,2731.32,2731.47,2686.06
357.0000,2992.4,2903.9,2834.03,2787.88,2730.79,2731.65,2684.99
357.5000,2991.66,2903.44,2833.41,2787.32,2729.98,2730.92,2684.45
358.0000,2989.78,2902.33,2831.45,2785.76,2728.42,2730.1,2683.17
358.5000,2987.95,2900.17,2828.55,2782.66,2726.72,2727.89,2681.15
359.0000,2985.72,2897,2825.52,2779.4,2724.54,2725.1,2678.72
359.5000,2982.54,2893.62,2820.95,2775.8,2721.3,2721.07,2674.92
360.0000,2978.88,2889.67,2817.03,2772.08,2717.43,2717.07,2671.57
360.5000,2973.6,2884.24,2811.62,2766.53,2712.5,2712.53,2666.78
361.0000,2968.58,2879.23,2806.37,2762.3,2708.39,2707.6,2661.63
