XYDATA,BFII_nolipid-no_12-11-25-1,BFII_nolipid-no_12-11-25-2,BFII_nolipid-no_12-11-25-3,BFII_nolipid-no_12-11-25-4,BFII_nolipid-no_12-11-25-5,BFII_nolipid-no_12-11-25-6,BFII_nolipid-no_12-11-25-7
342.0000,2157.6,2120.89,2077.19,2047.03,1964,2027.83,1992.23
342.5000,2174.05,2137.05,2093.29,2062.67,1978.42,2043.27,2007.99
343.0000,2194.53,2157.37,2113.23,2082.32,1997.96,2062.22,2026.97
343.5000,2210.9,2173.55,2129.34,2097.74,2012.64,2077.4,2041.88
344.0000,2228.33,2190.47,2146.4,2114.03,2028.36,2093.97,2058.1
344.5000,2244.03,2206.12,2160.76,2128.26,2042.26,2108.37,2072.41
345.0000,2260.42,2221.9,2176.71,2142.84,2057.07,2122.47,2087.67
345.5000,2273.99,2235.4,2189.64,2156.21,2069.52,2135.63,2099.17
346.0000,2288.42,2249.49,2202.97,2169.58,2082.02,2149.09,2112.42
346.5000,2303.61,2263.58,2216.95,2183.04,2095.44,2163.17,2126.43
347.0000,2314.54,2275.03,2228,2194.08,2105.19,2173.87,2137.01
347.5000,2326.94,2287.27,2239,2205.25,2116.39,2184.45,2147.5
348.0000,2337.38,2297.95,2248.42,2214.55,2125.92,2194.08,2156.58
348.5000,2347.79,2308.25,2258.18,2224.6,2134.92,2203.69,2166.05
349.0000,2356.7,2316,2266.27,2232.57,2142.79,2212.27,2173.81
349.5000,2366.17,2325.03,2275.68,2241.09,2150.87,2220.86,2181.83
350.0000,2373.7,2333.99,2283.65,2249.19,2158.97,2228.55,2188.24
350.5000,2379.98,2339.24,2289.55,2254.44,2165.02,2236,2194.03
351.0000,2386.59,2345.77,2295.41,2260.57,2171.08,2241.93,2199.8
351.5000,2392.23,2351.57,2300.29,2265.04,2176.03,2247.06,2204.83
352.0000,2397.48,2356.66,2305.9,2270.12,2180.51,2251.79,2210.07
352.5000,2401.59,2359.76,2309.45,2274.67,2183.97,2254.57,2213.31
353.0000,2405.28,2363.71,2313.29,2278.41,2187.57,2258.28,2216.71
353.5000,2407.6,2367.17,2315.28,2280.78,2189.91,2260.56,2219.14
354.0000,2410.74,2369.67,2317.85,2283.23,2191.61,2262.75,2220.84
354.5000,2412.24,2371.1,2319.8,2284.82,2193.57,2263.97,2221.93
355.0000,2413.05,2371.9,2319.71,2285.77,2194.68,2264.57,2222.5
355.5000,2412.71,2372.79,2319.35,2285.62,2195.09,2264.7,2222.18
356.0000,2412.22,2372.64,2318.62,2285.07,2195.26,2263.97,2222.1
356.5000,2411.85,2371.71,2317.42,2284.44,2194.59,2263.19,2220.95
357.0000,2410.75,2371.35,2315.66,2281.88,2193.12,2261.75,2218.52
357.5000,2409.18,2370.38,2313.39,2279.75,2191.05,2259.95,2216.26
358.0000,2407.62,2368.3,2311.52,2276.22,2189.87,2256.92,2213.09
358.5000,2403.96,2364.97,2308.1,2273.17,2186.52,2253.32,2209.01
359.0000,2399.94,2361.62,2303.9,2269.16,2182.72,2249.89,2205.57
359.5000,2395.71,2358.52,2299.87,2264.63,2178.97,2245.49,2201.24
360.0000,2391.79,2354.67,2296.11,2260.3,2174.78,2241.66,2196.62
360.5000,2386,2349.24,2290.41,2254.62,2169.71,2236.4,2190.39
361.0000,2380.35,2343.89,2284.86,2249.33,2164.12,2231.49,2185.5
361.5000,2373.38,2336.13,2277.16,2243.02,2157.24,2224.83,2180.11
362.0000,2366.76,2329.01,2270.18,2236.25,2150.08,2217.68,2173.2
362.5000,2359.1,2321.82,2262.83,2229.15,2143.27,2210.65,2166.42
363.0000,2350.08,2313.3,2254.27,2221.58,2135.04,2203.41,2158.44
363.5000,2341.95,2305.94,2246.58,2214.26,2127.43,2195.47,2150.75
364.0000,2331.87,2296.26,2237.38,2204.73,2119.23,2186.39,2141.88
364.5000,2322.75,2287.51,2228.33,2196.47,2110.52,2178,2133.24
365.0000,2311.93,2276.42,2217.25,2185.31,2099.87,2167.5,2122.83
365.5000,2300.64,2264.64,2206.39,2174.79,2089.6,2157.52,2113.49
366.0000,2290.13,2253.88,2196.02,2165.66,2079.43,2148.04,2104.27
366.5000,2277.52,2242.1,2184.04,2154.28,2068.88,2136.43,2093.21
367.0000,2265.54,2231.06,2173.24,2143.71,2057.96,2125.61,2082.03
367.5000,2250.61,2216.94,2158.19,2129.92,2044.8,2111.06,2069.31
368.0000,2236.93,2203.8,2144.63,2117.1,2032.07,2098.16,2056.82
368.5000,2224.12,2192.29,2132.14,2105.58,2020.26,2086.09,2045.45
369.0000,2209.22,2177.54,2118.36,2091.54,2006,2072.81,2031.3
369.5000,2194.88,2163.62,2105.13,2078.99,1993.18,2059.58,2018.85
370.0000,2179.24,2148.12,2089.86,2063.49,1978.26,2045.26,2004.16
370.5000,2165.01,2133.82,2075.47,2048.86,1964.82,2032.13,1990.87
371.0000,2147.1,2115.31,2058.26,2031.66,1948.72,2015.78,1973.95
371.5000,2130.07,2098.28,2041.88,2016.07,1933.29,1999.86,1958.64
372.0000,2113.55,2083.04,2026.51,2000.74,1919.37,1985.28,1944.56
372.5000,2096.12,2065.56,2009.74,1984.37,1902.53,1968.3,1927.89
373.0000,2079.47,2048.85,1994.56,1968.68,1887.11,1952.38,1912.65
373.5000,2059.73,2028.27,1975.69,1949.76,1868.5,1933.29,1894.14
374.0000,2040.65,2009.64,1958.52,1931.33,1851.39,1915.4,1876.52
374.5000,2022.82,1992.47,1941.55,1914.63,1835.42,1898.37,1860.65
375.0000,2003.23,1972.69,1922.89,1896.46,1817.16,1879.96,1842.45
375.5000,1985.17,1953.89,1905.38,1879.67,1800.84,1862.48,1826.06
376.0000,1963.01,1931.94,1883.88,1858.52,1780.38,1842.18,1805.6
376.5000,1942.27,1911.7,1864.34,1838.94,1761.63,1823.22,1786.83
377.0000,1923.2,1892.96,1846.83,1821.48,1745.26,1806,1769.07
377.5000,1902.02,1872.14,1826.23,1801.65,1726.09,1785.5,1749.25
378.0000,1883.01,1852.92,1807.35,1783.85,1708.47,1767.48,1732.04
378.5000,1859.88,1829.75,1784.51,1761.4,1686.99,1745.02,1710.55
379.0000,1838.24,1808.14,1763.77,1740.94,1667.05,1724.86,1690.08
379.5000,1818.43,1788.87,1744.44,1721.81,1649.58,1706.46,1671.3
380.0000,1796.29,1767.13,1723.92,1701.59,1630.01,1685.79,1651.09
380.5000,1777.39,1747.69,1705.1,1682.83,1611.72,1667.31,1632.45
381.0000,1753.49,1723.89,1682.43,1660.09,1590.06,1644.53,1610.35
381.5000,1731.39,1701.52,1660.66,1638.73,1569.56,1623.84,1590.14
382.0000,1711.9,1681.87,1641.05,1619.65,1550.69,1604.82,1571.34
382.5000,1689.06,1659.37,1620.13,1598.3,1530.2,1583.43,1550.48
383.0000,1668.67,1639.34,1600.89,1578.75,1511.91,1564.01,1531.29
383.5000,1643.96,1615.85,1578.17,1555.72,1489.28,1540.47,1508.09
384.0000,1621.36,1593.89,1556.71,1533.87,1468.5,1519.13,1487.26
384.5000,1601.27,1573.84,1537.59,1514.45,1449.98,1499.93,1468.68
385.0000,1578.6,1551.61,1516.24,1492.81,1429.84,1479.47,1448.03
385.5000,1558.43,1531.3,1497.31,1473.42,1411,1460.33,1429.49
386.0000,1534.28,1506.53,1473.69,1449.96,1388.63,1436.79,1407.1
386.5000,1512.06,1484.41,1452.16,1429.01,1368.57,1415.45,1386.88
387.0000,1491.71,1464.63,1432.57,1409.55,1350.18,1396.04,1368.79
387.5000,1469.36,1442.98,1410.82,1388.83,1330.07,1375.3,1348.08
388.0000,1448.83,1423.13,1391.42,1369.76,1311.48,1356.53,1329.5
388.5000,1424.83,1399.54,1368.33,1347.33,1289.99,1333.31,1307.76
389.0000,1402.33,1378,1347.18,1326.69,1269.66,1313,1287.7
389.5000,1382.3,1358.16,1327.94,1307.85,1251.8,1294.42,1269.34
390.0000,1358.69,1335.01,1305.95,1285.38,1229.7,1272.02,1247.49
390.5000,1341.23,1317.69,1289.18,1268.93,1214.02,1255.72,1231.85
391.0000,1318.41,1295.04,1266.61,1246.75,1192.74,1235.03,1210.56
391.5000,1296.82,1274.26,1245.87,1226.82,1172.54,1214.94,1190.89
392.0000,1277.34,1255.41,1226.92,1208.56,1154.96,1196.86,1173.47
392.5000,1254.45,1232.56,1205.06,1186.48,1134.41,1175.76,1152.35
393.0000,1237.26,1215.93,1188.87,1171.09,1118.83,1160.27,1136.12
393.5000,1213.94,1193.83,1166.91,1150.02,1098.39,1139.12,1115.54
394.0000,1193.37,1173.92,1146.84,1130.91,1079.41,1119.64,1096.52
394.5000,1175.07,1155.3,1128.85,1113.18,1062.42,1102.49,1079.22
395.0000,1153.21,1133.96,1107.66,1092.32,1041.53,1082.26,1059.74
395.5000,1133.37,1114.28,1088.64,1073.93,1023.47,1063.75,1040.98
396.0000,1115.6,1096.82,1071.15,1057.06,1007.03,1047.11,1024.48
396.5000,1094.42,1076.07,1051.02,1036.72,987.735,1027.37,1005.18
397.0000,1079.27,1060.28,1036.21,1021.51,973.599,1012.41,990.59
397.5000,1057.87,1039.95,1016.48,1002.08,954.601,992.711,971.734
398.0000,1038.75,1021.24,998.146,983.98,937.293,974.742,953.972
398.5000,1021.56,1004.83,981.715,967.828,921.868,958.602,938.501
399.0000,1001.58,985.586,962.375,948.667,904.011,939.302,919.817
399.5000,983.042,967.708,945.239,931.565,887.83,922.184,903.48
400.0000,966.459,951.576,929.631,915.674,873.227,906.956,888.578
400.5000,950.411,936.202,913.521,900.564,858.752,891.814,874.05
401.0000,932.431,918.789,896.158,883.955,842.949,875.407,857.794
401.5000,913.379,900.123,878.101,865.938,826.102,857.346,841.105
402.0000,896.044,883.11,861.406,849.656,810.89,841.236,825.435
402.5000,880.665,868.076,846.405,835.456,796.975,826.515,811.634
403.0000,862.322,850.35,828.917,818.047,780.357,809.68,794.565
403.5000,846.021,834.29,813.267,802.788,765.359,794.756,779.191
404.0000,831.679,819.931,799.402,789.093,752.029,781.067,765.085
404.5000,817.092,805.985,785.149,775.046,738.519,767.824,751.808
405.0000,801.614,790.358,769.704,759.447,723.989,753.153,737.692
405.5000,785.031,773.756,753.616,743.594,709.368,736.674,721.814
406.0000,770.69,760.259,740.102,730.019,696.755,723.722,708.93
406.5000,755.768,745.613,725.564,715.713,683.232,709.199,694.911
407.0000,739.853,729.422,710.305,701.015,668.419,693.805,680.122
407.5000,725.486,715.57,695.908,687.1,655.237,680.233,666.576
408.0000,712.375,702.568,683.039,674.656,643.411,667.945,654.156
408.5000,696.548,687.353,667.738,660.233,629.484,653.125,639.371
409.0000,685.037,676.237,656.777,649.435,619.033,642.183,628.789
409.5000,670.21,661.459,642.218,635.509,606.087,628.29,615.018
410.0000,657.958,649.391,630.774,624.309,594.847,616.54,603.705
410.5000,644.544,636.602,617.754,611.587,583.019,604.295,591.985
411.0000,630.692,622.786,603.955,597.466,570.256,590.984,578.961
411.5000,619.246,610.965,593.021,586.329,559.993,580.378,568.179
412.0000,606.619,598.589,581.081,574.369,548.958,568.373,556.624
412.5000,593.325,585.125,568.199,561.648,536.861,555.992,544.365
413.0000,580.973,573.202,556.372,549.902,525.888,544.93,533.145
413.5000,569.823,562.122,546.015,539.441,516.203,534.499,523.137
414.0000,556.855,549.254,534.008,527.487,504.423,522.29,511.067
414.5000,546.931,539.896,524.87,518.447,495.736,513.5,502.407
415.0000,534.626,527.726,512.551,506.594,484.619,501.88,491.108
415.5000,524.501,517.754,502.98,497.047,475.493,492.372,482.022
416.0000,513.787,506.676,492.568,486.79,465.629,482.076,471.97
416.5000,502.085,495.158,481.265,475.618,455.018,471.307,460.86
417.0000,492.72,485.439,471.99,466.726,446.176,462.266,451.802
417.5000,482.329,475.299,461.769,457.024,436.72,452.15,442.314
418.0000,471.162,464.047,451.147,446.475,426.802,442.063,431.912
418.5000,462.01,455.15,442.636,437.678,418.201,433.448,423.98
419.0000,452.509,445.318,433.248,428.495,409.219,423.996,414.772
419.5000,442.101,434.891,423.503,418.817,399.481,414.15,405.09
420.0000,432.915,425.531,414.372,409.955,391.007,405.234,396.472
420.5000,424.8,417.307,406.459,401.761,383.505,397.095,388.794
421.0000,414.72,407.48,396.927,392.354,374.667,387.922,379.915
421.5000,407.183,400.625,389.861,385.325,368.113,380.947,373.377
422.0000,397.74,390.949,380.729,376.452,359.736,372.071,364.752
422.5000,388.161,382.129,371.803,367.768,351.644,363.297,356.091
423.0000,381.423,375.407,364.907,361.314,345.17,357.031,350.022
423.5000,372.526,366.426,356.494,352.864,336.877,348.782,342.106
424.0000,365.38,359.154,349.477,345.851,330.229,341.882,335.206
424.5000,357.246,351.6,341.879,338.336,323.034,334.559,327.599
425.0000,348.699,342.796,333.706,330.368,315.24,326.792,319.731
425.5000,341.698,336.035,327.058,323.853,308.941,320.801,313.292
426.0000,334.235,328.555,320.01,316.568,302.208,313.835,306.734
426.5000,326.447,320.477,312.316,308.981,295.306,306.563,299.688
427.0000,319.885,314.316,306.122,302.784,289.341,300.396,293.651
427.5000,312.96,307.591,299.052,296.217,283.208,293.948,287.3
428.0000,305.598,300.252,292.097,289.019,276.411,286.816,280.463
428.5000,299.277,294.322,286.224,283.212,270.86,280.993,275.014
429.0000,292.529,288.179,279.941,276.967,264.855,274.6,269.161
429.5000,285.621,281.381,273.235,270.503,258.208,268.079,262.891
430.0000,279.863,275.707,268.014,265.033,253.085,262.642,257.623
