simulation,peptide,time,frame_number,representative_percentage
l18r_sim3,2p,950000,81,0.00000
l18r_sim3,4p,892500,58,0.16667
l18r_sim3,1p,790000,17,0.33333
l18r_sim1,3p,827500,32,0.50000
l18r_sim1,2p,825000,31,0.66667
l18r_sim1,2p,967500,88,0.83333
l18r_sim2,4p,792500,18,1.00000
