XYDATA,BFII_nolipid-no_12-11-25-1,BFII_nolipid-no_12-11-25-2,BFII_nolipid-no_12-11-25-3,BFII_nolipid-no_12-11-25-4,BFII_nolipid-no_12-11-25-5,BFII_nolipid-no_12-11-25-6,BFII_nolipid-no_12-11-25-7,BFII_nolipid-no_12-11-25-8,BFII_nolipid-no_12-11-25-9,BFII_nolipid-no_12-11-25-10,BFII_nolipid-no_12-11-25-11
329.0000,1260.91,1187.77,1168.3,1149.94,1104.39,1165.28,1131.88,1173.43,1150.56,1160.13,1185.58
329.5000,1293.56,1218.45,1198.64,1179.94,1133.22,1195.87,1161.54,1204.88,1180.55,1190.18,1216.5
330.0000,1320.71,1243.95,1224.02,1205.44,1157.31,1220.82,1185.92,1230.35,1205.09,1215.39,1241.84
330.5000,1350.71,1272.09,1251.31,1232.72,1183.29,1248.74,1213.06,1258.28,1233.02,1243.03,1269.83
331.0000,1377.68,1297.88,1276.56,1256.93,1206.69,1274.12,1237.08,1283.48,1257.49,1267.55,1295.41
331.5000,1407.37,1325.56,1303.37,1283.18,1232.39,1301.46,1262.79,1310.35,1284.56,1294.43,1323.71
332.0000,1434.4,1350.11,1327.43,1307.32,1255.33,1325.59,1286.36,1334.89,1308.27,1318.69,1348.62
332.5000,1463.32,1376.41,1353.82,1333.76,1279.97,1352.65,1312.08,1361.21,1334.02,1345.37,1376.37
333.0000,1493.98,1405.82,1381.68,1361.38,1306.86,1381.49,1339,1390.69,1362,1373.25,1405.47
333.5000,1516.49,1427.63,1403.33,1381.89,1327.37,1402.16,1359.99,1411.94,1382.84,1394.27,1427.01
334.0000,1546.04,1455.81,1431.63,1409.71,1353.07,1429.57,1386.54,1439.84,1409.96,1421.77,1455.27
334.5000,1570.33,1478.6,1453.15,1432.36,1373.74,1452.59,1408.51,1462.43,1432.16,1444.25,1478.22
335.0000,1596.9,1503.6,1477.39,1457.06,1396.44,1477.89,1432,1487.76,1456.28,1468.55,1503.18
335.5000,1620.06,1525.31,1499.39,1477.98,1416.97,1499.62,1453.08,1509.78,1477.71,1490.64,1525.5
336.0000,1644.94,1549.32,1522.74,1500.73,1439.86,1522.65,1476.44,1533.77,1500.47,1514.06,1548.84
336.5000,1667.57,1570.79,1543.95,1520.92,1460.06,1543.54,1496.78,1554.96,1521.55,1534.53,1570.34
