XYDATA,TRP_lipid-000_12-11-25-1,TRP_lipid-005_12-11-25-1,TRP_lipid-010_12-11-25-1,TRP_lipid-015_12-11-25-1,TRP_lipid-020_12-11-25-1,TRP_lipid-025_12-11-25-1,TRP_lipid-030_12-11-25-1,TRP_lipid-035_12-11-25-1,TRP_lipid-040_12-11-25-1,TRP_lipid-045_12-11-25-1,TRP_lipid-050_12-11-25-1
328.5000,1664.03,1505.1,1474.72,1563.13,1503.27,1540.02,1511.24,1518.65,1496.14,1481.81,1475.88
329.0000,1696.57,1534.72,1503.71,1593.83,1530.26,1569.74,1541.01,1547.71,1525.19,1510.87,1504.29
329.5000,1740.56,1573.89,1542.15,1634,1568.51,1609.16,1580.79,1587.09,1563.81,1549.68,1542.41
330.0000,1776.14,1606.46,1573.34,1667.66,1600.39,1643.11,1612.79,1619.41,1596.36,1580.88,1573.69
330.5000,1815.76,1642.22,1608.4,1704.09,1635.41,1679.34,1648.56,1655.15,1630.96,1615.56,1608.13
331.0000,1850.67,1674.38,1639.89,1737.19,1667.46,1711.76,1680.19,1687.33,1662.81,1646.63,1639.33
331.5000,1889.51,1709.44,1673.87,1773.2,1702.53,1747.74,1715.04,1722.48,1696.93,1680.9,1673.11
332.0000,1924.23,1741.07,1704.39,1805.9,1734.51,1779.87,1746.11,1754.21,1727.41,1711.33,1703.4
332.5000,1960.99,1775.33,1737.31,1841.78,1768.44,1814.09,1780.18,1788.38,1761.43,1743.93,1736.93
333.0000,2001.02,1812.54,1773,1880.6,1804.95,1850.88,1816.5,1826.08,1798.73,1779.35,1772.51
333.5000,2032.13,1839.49,1799.8,1908.74,1832.38,1878.29,1843.66,1853.85,1825.36,1806.74,1799.16
334.0000,2071.57,1875.64,1835.03,1946,1868.26,1914.73,1879.5,1890.05,1860.7,1841.89,1834.54
334.5000,2104.33,1904.57,1863.88,1976.82,1897.51,1945.09,1908.38,1919.35,1889.7,1871.1,1863.55
335.0000,2139.97,1937,1894.61,2010.11,1929.17,1977.44,1941.1,1950.82,1921.71,1902.36,1895.61
335.5000,2172.36,1965.06,1921.98,2039.77,1957.07,2006.28,1969.88,1978.77,1949.7,1929.99,1922.52
336.0000,2206.45,1995.44,1952.23,2071.64,1987.43,2038.08,2000.48,2009.24,1980.62,1960.09,1952.17
336.5000,2236.98,2023.35,1978.72,2100.56,2014.42,2065.85,2027.35,2037.15,2007.96,1986.94,1979.2
337.0000,2269.52,2053.03,2007.62,2131.31,2042.62,2096.11,2056.6,2067.4,2037.32,2015.76,2007.86
337.5000,2304.74,2084.3,2037.23,2163.65,2073.17,2127.78,2087.72,2100.11,2068.41,2045.91,2038.69
338.0000,2329.68,2107.38,2059.66,2187.62,2096.58,2150.87,2111.69,2122.98,2090.68,2068.28,2061.48
338.5000,2362.78,2137.83,2089.31,2218.65,2126.27,2182.15,2142.08,2152.81,2120.09,2097.3,2090.81
339.0000,2390.09,2162.53,2112.55,2243,2150.18,2207.37,2166.05,2177.6,2144.28,2121.3,2114.9
339.5000,2418.76,2188.88,2138.32,2270.03,2175.77,2234.36,2192.31,2204.62,2170.19,2146.57,2141.35
340.0000,2443.93,2211.93,2160.47,2294.04,2198.27,2258.61,2215,2227.81,2193.68,2169.25,2163.78
340.5000,2470.75,2236.24,2184.55,2318.66,2222.67,2283.94,2239.85,2252.47,2217.7,2192.5,2188.14
341.0000,2494.76,2257.38,2205.87,2341.64,2244.2,2306.53,2262.48,2274.7,2238.88,2214.08,2209.1
341.5000,2520.44,2280.61,2228.12,2366.39,2267.09,2330.57,2286.24,2298.32,2261.96,2237.85,2231.65
342.0000,2548.1,2304.47,2252.83,2391.69,2291.46,2354.47,2310.83,2322.81,2285.83,2261.84,2256.41
342.5000,2568.35,2322.18,2270.47,2409.82,2308.57,2372.63,2329.37,2341.79,2303.65,2279.19,2273.98
343.0000,2593.7,2344.68,2292.4,2433.78,2331.35,2395.11,2352.25,2364.28,2326.53,2302.49,2296.24
343.5000,2614.73,2362.54,2309.92,2453.12,2350.1,2413.83,2370.81,2383.03,2344.41,2319.52,2314.01
344.0000,2635.89,2381.66,2328.04,2473.74,2369.78,2433.23,2389.83,2402.23,2363.12,2337.61,2332.52
344.5000,2653.97,2398.46,2343.78,2491.06,2386.72,2450.09,2406.78,2420.11,2380.58,2354.32,2349.61
345.0000,2673.73,2416.48,2360.8,2509.64,2405.02,2468.3,2425.29,2439.06,2398.9,2372.16,2367.62
345.5000,2690.5,2431.16,2375.27,2525.78,2420.25,2484.07,2441.2,2454.27,2414.19,2387.55,2382.28
346.0000,2708.2,2447.61,2390.71,2542.74,2435.64,2500.77,2458.28,2470.8,2430.52,2403.19,2397.73
346.5000,2726.35,2463.86,2407.17,2560.11,2452.51,2518.11,2474.69,2487.59,2449.1,2421.18,2415.17
347.0000,2741.37,2477.09,2419.47,2573.83,2467.06,2531.89,2487.49,2500.43,2461.97,2434.02,2428.69
347.5000,2755.95,2491.18,2432.56,2588.97,2481.63,2546.46,2501.25,2514.35,2475.72,2446.99,2442.46
348.0000,2768.96,2503.2,2443.19,2601.76,2493.71,2558,2513.55,2526.2,2487.11,2459.24,2453.76
348.5000,2782.19,2515.36,2454.22,2614.34,2505.95,2570.6,2525.54,2538.39,2499.53,2471.3,2466.7
349.0000,2793.3,2526.21,2463.79,2625.1,2516.07,2580.82,2535.42,2548.59,2509.69,2480.95,2476.83
349.5000,2804.87,2536.53,2474.02,2636.67,2526.67,2592.04,2545.76,2559.45,2520.9,2491.84,2487.56
350.0000,2817.18,2546.5,2484.26,2647.35,2536.67,2602.61,2556.55,2570.52,2531.94,2502.39,2498.03
350.5000,2826.93,2554.63,2492.35,2654.91,2544.93,2611.2,2565.34,2579.1,2539,2511.37,2506.22
351.0000,2836.75,2563.2,2500.75,2662.68,2552.99,2620.67,2573.24,2586.73,2545.99,2520.3,2514.35
351.5000,2842.61,2569.74,2507.29,2670.5,2559.29,2627.26,2580.92,2593.53,2552.4,2526.52,2521.09
352.0000,2850.43,2576.22,2513.69,2677.82,2565.91,2633.96,2587.95,2600.31,2559.36,2533.32,2527.98
352.5000,2856.02,2582.53,2518.83,2682.87,2571.56,2639.1,2593.28,2606.19,2564.77,2539.15,2532.49
353.0000,2862.09,2588.43,2524.02,2688.48,2576.84,2644.77,2598.68,2612.16,2569.47,2545.11,2537.71
353.5000,2866.11,2592.8,2528.47,2692.7,2581.34,2649.07,2602.33,2617.18,2573.66,2549.2,2542.58
354.0000,2870.52,2597.05,2532.88,2696.63,2586.66,2653.5,2606.78,2621.88,2577.7,2553.89,2547.05
354.5000,2873.73,2599.3,2535.53,2700.47,2590.25,2657.11,2610.72,2625.35,2580.93,2557.29,2549.96
355.0000,2875.99,2601.54,2537.82,2703.43,2592.87,2659.62,2612.91,2627.67,2583.64,2559.92,2552.31
355.5000,2878.12,2603.53,2540.22,2706.33,2595.39,2661.92,2615.78,2628.78,2585.4,2561.89,2554.5
356.0000,2879.79,2604.42,2540.93,2707.52,2596.58,2663.66,2616.57,2630.57,2587.16,2563.43,2555.48
356.5000,2881.21,2605.26,2540.89,2707.75,2597.17,2664.16,2616.45,2631.47,2588.44,2564.16,2556.06
357.0000,2881.4,2604.95,2540.55,2707.78,2598.11,2663.88,2616.89,2631.79,2588.52,2564.23,2555.79
357.5000,2880.92,2603.88,2540.13,2707.26,2598.12,2663.21,2616.72,2630.5,2587.84,2563.97,2555.1
358.0000,2879.5,2602.47,2539.25,2705.22,2597.11,2661.44,2615.75,2629.28,2585.4,2561.96,2554.17
358.5000,2877.33,2600.62,2536.61,2703.3,2594.98,2658.63,2613.5,2627.23,2583.13,2560.61,2552.42
359.0000,2874.98,2598.21,2534.07,2700.29,2592.89,2655.76,2610.93,2623.85,2580.71,2558.5,2550.63
359.5000,2871.97,2595.32,2531.41,2697.17,2589.89,2652.64,2608.05,2621.23,2578.21,2555.31,2548.04
360.0000,2868.22,2592.32,2527.11,2694.13,2586.28,2649.4,2605.11,2617.46,2575.54,2551.68,2544.09
360.5000,2862.43,2588.25,2522.42,2690.12,2581.6,2644.9,2599.73,2612.57,2571.68,2547.59,2539.87
361.0000,2857.52,2583.87,2518.5,2686.21,2576.7,2640.54,2595.57,2608.66,2566.87,2543.51,2535.29
361.5000,2850.43,2578.49,2512.45,2679.83,2569.86,2634.4,2589.09,2602.03,2561.18,2538.75,2529.97
362.0000,2844.24,2571.75,2505.89,2672.58,2562.48,2628.33,2583.68,2596.15,2555.04,2532.77,2524.08
362.5000,2837.81,2565.79,2500.3,2666,2555.68,2622.71,2578,2589.82,2548.45,2526.6,2517.76
363.0000,2829.2,2558.94,2492.93,2657.66,2547.46,2614.9,2570.4,2581.61,2540.93,2519.36,2510.55
363.5000,2821.29,2551.77,2485.41,2649.74,2540.23,2607.54,2562.78,2574.48,2533.79,2511.96,2504.17
364.0000,2812.69,2542.74,2477.27,2640.51,2531.39,2598.9,2554.13,2565.66,2524.73,2503.55,2496.19
364.5000,2803.43,2534.66,2469.12,2632.32,2522.44,2590.88,2546.34,2557.57,2516.28,2495.05,2487.89
365.0000,2791.63,2523.65,2458.49,2620.54,2512.03,2579.43,2536.23,2547.82,2505.66,2484.15,2477.1
365.5000,2780.74,2513.28,2448.14,2609.22,2501.85,2569.03,2525.42,2537.18,2495.37,2473.54,2467.35
366.0000,2770.49,2503.21,2439.28,2598.4,2491.21,2558.4,2515.13,2527.58,2484.98,2462.79,2457.88
366.5000,2757.99,2491.76,2427.87,2586.4,2479.93,2545.9,2503.37,2515.46,2473.29,2451.47,2446.4
367.0000,2746.11,2480.28,2417.47,2574.24,2469.16,2535.16,2492.29,2504.23,2461.8,2441.41,2435.95
367.5000,2731.05,2467.26,2404.26,2559.82,2455.22,2521.18,2478.33,2490,2447.38,2427.69,2422.84
368.0000,2716.04,2453.48,2391.77,2546.05,2442.17,2507.67,2464.87,2477.11,2434.35,2415.04,2410.37
368.5000,2701.74,2440.51,2379.68,2533.27,2429.37,2494.96,2451.59,2464.45,2422.83,2402.48,2397.45
369.0000,2685.66,2425.99,2364.9,2518.4,2414.82,2479.98,2437.02,2450.55,2409.13,2387.86,2383.7
369.5000,2670.91,2412.55,2351.56,2503.2,2401.25,2466.68,2422.64,2436.98,2396.36,2374.81,2370.69
370.0000,2654.03,2397.33,2336.25,2486.49,2384.91,2451.46,2407.86,2421.06,2380.96,2359.87,2355.51
370.5000,2638.07,2383.07,2321.96,2471.24,2370.45,2436.93,2393.81,2406.39,2367.07,2345,2341.85
371.0000,2617.63,2364.48,2304.05,2452.61,2352.24,2419.29,2375.62,2388.75,2349.16,2326.66,2323.66
371.5000,2598.69,2347.65,2287.04,2434.72,2334.59,2400.96,2358.49,2371.11,2333.12,2309.63,2307.11
372.0000,2580.92,2331.83,2271.33,2419.01,2317.94,2384.54,2342.48,2354.98,2317.22,2293.57,2291.58
372.5000,2560.74,2314.57,2254.26,2400.59,2299.81,2365.63,2324.94,2337.63,2299.71,2277.13,2274.26
373.0000,2542.22,2297.99,2237.73,2383.22,2283.16,2348.4,2308.48,2320.91,2283.26,2261.33,2258.61
373.5000,2519.31,2276.39,2217.93,2361.11,2262.29,2327.14,2287.85,2300.41,2263.15,2242.38,2238.81
374.0000,2498.11,2256.83,2198.65,2341.39,2242.72,2307.11,2268.37,2280.89,2243.61,2223.76,2219.8
374.5000,2478.34,2238.36,2181.37,2323.6,2225.07,2289.2,2250.85,2262.98,2225.71,2206.33,2203.48
375.0000,2455.75,2218.77,2162.29,2302.6,2204.28,2268.56,2230.65,2242.81,2206.21,2187.28,2184.27
375.5000,2435.81,2199.88,2145.02,2283.64,2186.32,2249.72,2212.18,2224.66,2188.51,2169.87,2166.15
376.0000,2410.41,2176.87,2122.75,2260.67,2163.88,2227.05,2190.4,2202.27,2166.66,2148.28,2144.08
376.5000,2387.36,2156,2102.37,2238.83,2142.36,2205.71,2168.94,2181.86,2146.06,2128.2,2123.23
377.0000,2366.69,2137.12,2083.39,2218.15,2123.27,2186.2,2149.84,2162.47,2127.2,2109.23,2103.88
377.5000,2342.32,2114.64,2062.5,2195.6,2101.39,2163.87,2127.7,2140.82,2106.41,2088.16,2083.38
378.0000,2320.42,2094.31,2043.42,2174.94,2082.04,2143.75,2107.93,2121.33,2086.81,2069.3,2064.06
378.5000,2293.97,2069.61,2020.16,2149.2,2058.93,2119.77,2083.96,2097.23,2062.66,2046.06,2040.83
379.0000,2269.48,2046.67,1998.39,2125.74,2036.83,2096.94,2061.67,2074.54,2040.45,2023.8,2018.89
379.5000,2246.29,2025.76,1978.49,2104.74,2016.78,2076.44,2041.3,2053.96,2020.27,2003.3,1998.93
380.0000,2220.62,2002.62,1956.46,2081.66,1994.91,2053.25,2017.89,2029.79,1998.07,1981.78,1976.69
380.5000,2197.4,1981.3,1936.22,2059.64,1974.43,2032.21,1995.7,2009.17,1977.76,1961.02,1956.37
381.0000,2170.24,1956,1912.29,2033.52,1949.47,2006.29,1970.33,1984.21,1952.22,1936.76,1932.74
381.5000,2144.17,1932.85,1890.27,2009.72,1926.83,1982.49,1946.72,1961.32,1930.37,1914.02,1909.62
382.0000,2120.53,1911.6,1869.57,1987.69,1906.25,1960.49,1925.1,1940.42,1910.05,1893.71,1889.07
382.5000,2094.48,1888.26,1846.58,1963.63,1883.45,1936.64,1901.54,1916.42,1886.87,1871.23,1866.54
383.0000,2070.91,1867.14,1826.01,1941.67,1862.38,1914.62,1880.21,1894.78,1865.77,1850.34,1846.19
383.5000,2042.47,1841.25,1800.27,1914.25,1837.04,1888.85,1854.46,1868.93,1840.29,1826.27,1820.68
384.0000,2016.15,1817.06,1777.12,1889.65,1813.94,1864.5,1831,1845.05,1817.12,1803.62,1797.64
384.5000,1991.98,1795.63,1756.21,1867.4,1792.09,1843.3,1810.12,1824.39,1796.29,1782.61,1776.53
385.0000,1965.98,1772.05,1732.51,1843.75,1768.34,1818.74,1786.77,1800.98,1773.47,1759.31,1752.89
