BFII_nolipid
""
WAVELENGTH	FLUORESCENCE
300.0	75.92667388916016
300.5	82.00621795654297
301.0	88.80955505371094
301.5	95.0267333984375
302.0	103.93252563476562
302.5	114.39030456542969
303.0	124.42471313476562
303.5	136.12806701660156
304.0	147.19354248046875
304.5	159.88624572753906
305.0	174.35841369628906
305.5	185.77650451660156
306.0	201.76461791992188
306.5	214.38720703125
307.0	232.0205535888672
307.5	245.65489196777344
308.0	264.8418273925781
308.5	283.1246643066406
309.0	300.46722412109375
309.5	320.54364013671875
310.0	339.09722900390625
310.5	358.59033203125
311.0	380.9837951660156
311.5	401.9340515136719
312.0	425.2684020996094
312.5	447.529052734375
313.0	472.4631652832031
313.5	495.7257995605469
314.0	522.0980834960938
314.5	551.2876586914062
315.0	573.9360961914062
315.5	604.1420288085938
316.0	627.790283203125
316.5	659.6070556640625
317.0	689.593505859375
317.5	717.3965454101562
318.0	744.730224609375
318.5	775.8057861328125
319.0	804.7094116210938
319.5	837.1431884765625
320.0	866.8502197265625
320.5	899.6295776367188
321.0	936.4173583984375
321.5	964.1935424804688
322.0	1001.5171508789062
322.5	1029.72705078125
323.0	1068.1981201171875
323.5	1103.6339111328125
324.0	1136.0589599609375
324.5	1168.9727783203125
325.0	1205.023681640625
325.5	1238.4285888671875
326.0	1275.21484375
326.5	1308.9063720703125
327.0	1345.4530029296875
327.5	1384.6317138671875
328.0	1415.030517578125
328.5	1454.8228759765625
329.0	1484.453369140625
329.5	1523.432861328125
330.0	1556.031005859375
330.5	1591.341552734375
331.0	1623.15966796875
331.5	1658.4583740234375
332.0	1689.839111328125
332.5	1723.8642578125
333.0	1760.604736328125
333.5	1787.879150390625
334.0	1823.95947265625
334.5	1852.7222900390625
335.0	1884.0667724609375
335.5	1911.8651123046875
336.0	1942.190673828125
336.5	1969.300537109375
337.0	1998.074951171875
337.5	2028.674560546875
338.0	2051.25146484375
338.5	2080.942626953125
339.0	2103.90576171875
339.5	2128.687744140625
340.0	2151.064453125
340.5	2175.62060546875
341.0	2196.56591796875
341.5	2218.7119140625
342.0	2242.990966796875
342.5	2260.498779296875
343.0	2281.7490234375
343.5	2298.487060546875
344.0	2316.399169921875
344.5	2331.84033203125
345.0	2348.71240234375
345.5	2362.830810546875
346.0	2377.05322265625
346.5	2392.3818359375
347.0	2404.404052734375
347.5	2416.404296875
348.0	2426.756591796875
348.5	2437.60498046875
349.0	2446.689697265625
349.5	2455.42041015625
350.0	2464.517333984375
350.5	2471.1318359375
351.0	2477.689453125
351.5	2483.27783203125
352.0	2488.671875
352.5	2492.825439453125
353.0	2496.70263671875
353.5	2499.2275390625
354.0	2501.29052734375
354.5	2503.2548828125
355.0	2503.940673828125
355.5	2504.05712890625
356.0	2503.734375
356.5	2502.5771484375
357.0	2502.038330078125
357.5	2500.98046875
358.0	2497.855712890625
358.5	2493.85205078125
359.0	2490.38818359375
359.5	2485.64013671875
360.0	2480.387939453125
360.5	2473.718017578125
361.0	2467.9990234375
361.5	2460.2451171875
362.0	2452.097412109375
362.5	2444.561279296875
363.0	2435.62890625
363.5	2427.86181640625
364.0	2418.12841796875
364.5	2408.786376953125
365.0	2396.406982421875
365.5	2385.897216796875
366.0	2375.409912109375
366.5	2362.893310546875
367.0	2350.5009765625
367.5	2335.43017578125
368.0	2321.46142578125
368.5	2308.228515625
369.0	2292.74462890625
369.5	2278.18505859375
370.0	2261.8671875
370.5	2246.2822265625
371.0	2227.58251953125
371.5	2210.36962890625
372.0	2194.593017578125
372.5	2175.93603515625
373.0	2159.427490234375
373.5	2138.168212890625
374.0	2118.43701171875
374.5	2100.474609375
375.0	2079.2998046875
375.5	2058.691162109375
376.0	2035.8629150390625
376.5	2013.95703125
377.0	1993.008056640625
377.5	1971.5338134765625
378.0	1951.7186279296875
378.5	1927.671142578125
379.0	1905.7120361328125
379.5	1886.0966796875
380.0	1863.6109619140625
380.5	1843.0074462890625
381.0	1817.9224853515625
381.5	1794.4368896484375
382.0	1773.4818115234375
382.5	1750.1964111328125
383.0	1729.2159423828125
383.5	1703.4197998046875
384.0	1679.90771484375
384.5	1659.7821044921875
385.0	1636.28076171875
385.5	1614.8446044921875
386.0	1589.4266357421875
386.5	1565.9486083984375
387.0	1544.71630859375
387.5	1521.2188720703125
388.0	1500.2005615234375
388.5	1475.2113037109375
389.0	1452.830078125
389.5	1432.5614013671875
390.0	1407.2633056640625
390.5	1388.9954833984375
391.0	1364.7091064453125
391.5	1343.0098876953125
392.0	1322.781494140625
392.5	1299.3441162109375
393.0	1282.6544189453125
393.5	1260.06787109375
394.0	1239.050048828125
394.5	1221.0989990234375
395.0	1197.7713623046875
395.5	1176.33642578125
396.0	1156.6295166015625
396.5	1134.7916259765625
397.0	1117.7159423828125
397.5	1095.9991455078125
398.0	1076.1912841796875
398.5	1058.1143798828125
399.0	1037.111328125
399.5	1018.3418579101562
400.0	1001.1712646484375
400.5	984.1256103515625
401.0	965.33251953125
401.5	945.9824829101562
402.0	928.1616821289062
402.5	911.7950439453125
403.0	893.1567993164062
403.5	876.2227172851562
404.0	861.2973022460938
404.5	846.2484130859375
405.0	829.958251953125
405.5	812.6119995117188
406.0	798.3580932617188
406.5	782.0518188476562
407.0	765.1253662109375
407.5	749.9617919921875
408.0	736.0109252929688
408.5	719.908203125
409.0	707.876708984375
409.5	692.6739501953125
410.0	679.9603881835938
410.5	666.00830078125
411.0	651.47607421875
411.5	639.567626953125
412.0	626.9661865234375
412.5	612.661376953125
413.0	600.2753295898438
413.5	589.2449340820312
414.0	577.015625
414.5	567.0525512695312
415.0	554.3604125976562
415.5	544.11083984375
416.0	532.8489990234375
416.5	520.7008056640625
417.0	510.7341613769531
417.5	499.92938232421875
418.0	488.08538818359375
418.5	478.98919677734375
419.0	468.99835205078125
419.5	457.6956481933594
420.0	447.97003173828125
420.5	439.22552490234375
421.0	429.1285705566406
421.5	421.55810546875
422.0	411.6683654785156
422.5	401.57623291015625
423.0	394.6191101074219
423.5	385.9720153808594
424.0	378.5160217285156
424.5	370.47479248046875
425.0	361.7773132324219
425.5	354.906982421875
426.0	347.1534118652344
426.5	338.89697265625
427.0	331.93505859375
427.5	324.3612365722656
428.0	316.61285400390625
428.5	310.02392578125
429.0	303.0580749511719
429.5	295.4593200683594
430.0	289.6227722167969
430.5	283.21044921875
431.0	276.2767639160156
431.5	270.6526184082031
432.0	264.6522521972656
432.5	257.93670654296875
433.0	252.60610961914062
433.5	246.8713836669922
434.0	240.990478515625
434.5	236.1191864013672
435.0	230.88966369628906
435.5	225.15638732910156
436.0	220.5474853515625
436.5	215.4798583984375
437.0	210.1764373779297
437.5	206.04727172851562
438.0	201.5398406982422
438.5	196.43692016601562
439.0	192.5695343017578
439.5	188.0785369873047
440.0	183.4898223876953
440.5	179.64376831054688
441.0	175.4099578857422
441.5	171.06637573242188
442.0	167.5745849609375
442.5	163.81504821777344
443.0	159.6182098388672
443.5	156.384521484375
444.0	152.72921752929688
444.5	149.336669921875
445.0	145.837646484375
445.5	142.75994873046875
446.0	139.65443420410156
446.5	136.18411254882812
447.0	133.35536193847656
447.5	130.52658081054688
448.0	127.42891693115234
448.5	124.74688720703125
449.0	122.0400619506836
449.5	119.14865112304688
450.0	116.53531646728516
