XYDATA,TRP_lipid-000_12-11-25-1,TRP_lipid-005_12-11-25-1,TRP_lipid-010_12-11-25-1,TRP_lipid-015_12-11-25-1,TRP_lipid-020_12-11-25-1,TRP_lipid-025_12-11-25-1,TRP_lipid-030_12-11-25-1,TRP_lipid-035_12-11-25-1,TRP_lipid-040_12-11-25-1,TRP_lipid-045_12-11-25-1,TRP_lipid-050_12-11-25-1
348.5000,2907.18,2835.82,2788.06,2730.89,2680.03,2639.63,2603.64,2600.69,2557.11,2533.37,2504.96
349.0000,2919.16,2846.25,2799.71,2742.39,2691.03,2650.18,2614.1,2611.39,2566.89,2544.34,2514.2
349.5000,2931.74,2857.23,2811.91,2753.87,2702.58,2662.26,2625.23,2622.28,2578.18,2554.76,2524.87
350.0000,2942.81,2868.7,2823.84,2765.12,2713.68,2673.14,2636.06,2633.3,2589.44,2565.91,2535.57
350.5000,2951.96,2877.27,2833.74,2773.36,2722.57,2681.54,2644.29,2642.41,2598.78,2574.14,2543.42
351.0000,2961.94,2886.85,2842.72,2782.39,2731.05,2690.19,2653.38,2650.79,2608,2582.33,2552.03
351.5000,2969.97,2894.56,2850.49,2789.84,2738.03,2697.54,2659.83,2657.59,2615.33,2589.75,2559.76
352.0000,2977.67,2902.02,2859.02,2797.09,2745.68,2704.32,2666.99,2664.47,2622.31,2596.12,2567.26
352.5000,2983.6,2908.15,2865.69,2803.35,2751.67,2709.39,2671.58,2669.93,2627.81,2601.4,2573.09
353.0000,2990.28,2914.29,2870.93,2809.65,2757.01,2715.22,2676.98,2675.78,2633.48,2607.05,2579.06
353.5000,2995.34,2919.73,2875.91,2814,2761.56,2719.8,2681.7,2680.15,2638.1,2611.2,2582.76
354.0000,3000.68,2924.81,2880.92,2819.06,2766.62,2724.53,2686.17,2685.19,2642.8,2616.15,2587.59
354.5000,3005.87,2928.17,2885.09,2822.98,2770.6,2727.98,2689.47,2688.51,2646.37,2619.77,2591.57
355.0000,3007.26,2930.59,2886.84,2825.19,2773.21,2729.69,2692.22,2691.53,2648.29,2621.94,2594.54
355.5000,3009.23,2933.65,2889.22,2827.1,2774.7,2732.26,2694.44,2693.81,2650.36,2624.29,2596.53
356.0000,3011.17,2934.38,2891,2828.61,2775.95,2733.39,2695.71,2695.73,2651.41,2625.59,2598.35
356.5000,3012.17,2934.97,2891.3,2829.47,2776.61,2734.08,2695.88,2696.99,2652.12,2626.46,2599.32
357.0000,3011.69,2934.3,2891.53,2828.41,2776.46,2734.23,2695.29,2696.77,2652.46,2627.05,2599.89
357.5000,3011,2933.34,2891.4,2827.58,2776.15,2733.67,2694.78,2696.78,2651.46,2626.85,2599.38
358.0000,3009.59,2932.3,2889.9,2826.21,2774.84,2732.07,2692.95,2695.69,2650.08,2625.84,2598.33
358.5000,3006.41,2929.85,2888.1,2823.72,2773.62,2730.01,2690.09,2694.05,2648.33,2623.55,2596.09
359.0000,3003.36,2927.52,2885.67,2820.65,2770.73,2727,2687.87,2691.59,2645.23,2621.6,2594.02
359.5000,2999.67,2923.77,2881.93,2817.65,2766.82,2723.23,2684.64,2688.8,2641.25,2618.84,2591.2
360.0000,2995.81,2919.8,2878.11,2814.68,2762.97,2719.95,2680.75,2685.27,2637.92,2615.82,2588.17
360.5000,2990.64,2913.85,2873.88,2809.69,2758.04,2715.48,2675.84,2681.28,2632.85,2612.27,2584.03
361.0000,2985.17,2908.87,2868.57,2804.45,2753.26,2710.95,2671.28,2676.64,2628.51,2608.02,2579.6
361.5000,2978.83,2902.12,2862.94,2797.05,2746.91,2705.04,2664.45,2670.06,2622.4,2602.28,2573.55
362.0000,2971.31,2895.87,2855.21,2791.53,2739.95,2698.2,2657.31,2663.97,2615.63,2595.63,2566.92
362.5000,2964.75,2889.38,2848.47,2784.63,2733,2691.27,2650.71,2658.19,2609.28,2590.12,2560.81
363.0000,2957.39,2880.45,2839.45,2776.36,2725.16,2682.81,2643.19,2651.19,2602.04,2582.61,2553.99
363.5000,2948.96,2872.89,2831.57,2768.32,2717.59,2675.05,2635.32,2644.95,2594.92,2576.06,2546.82
364.0000,2939.39,2862.7,2821.89,2758.16,2707.97,2664.67,2627.01,2635.86,2585.36,2568.07,2538.52
364.5000,2930.27,2852.76,2812.73,2749.13,2699.32,2655.68,2618.67,2627.25,2577.34,2560.47,2530.95
365.0000,2917.76,2841.08,2801.71,2737.83,2687.88,2643.97,2607.82,2616.5,2566.88,2550.29,2520.27
365.5000,2906,2828.77,2790.74,2726.5,2676.75,2632.75,2596.92,2605.7,2556.27,2540.57,2510.04
366.0000,2894.29,2817.54,2779.95,2715.58,2665.83,2622.64,2586.09,2595.46,2546.44,2530.74,2500.66
366.5000,2880.42,2804.56,2767.36,2702.73,2653.01,2610.7,2574.14,2583.57,2535.09,2518.69,2489.29
367.0000,2867.44,2792.97,2755.41,2690.62,2641.65,2599.59,2562.81,2571.82,2525.04,2507.37,2479.73
367.5000,2852.39,2778.17,2739.51,2675.8,2626.95,2584.23,2548.31,2558.11,2510.97,2493.65,2465.72
368.0000,2837.32,2763.2,2724.71,2660.99,2612.9,2570.4,2534.67,2544.12,2497.27,2480.3,2452.14
368.5000,2822.64,2749.19,2710.33,2648.17,2599.21,2557.97,2522.1,2531.02,2484.67,2468.39,2440.35
369.0000,2805.47,2732.97,2695.6,2632.67,2584.08,2543.29,2507.24,2517,2470.09,2454.5,2425.74
369.5000,2789.68,2717.65,2680.81,2617.65,2569.55,2528.81,2493.77,2503.48,2456.12,2440.29,2411.93
370.0000,2771.66,2701.29,2663.91,2600.38,2553.03,2512.34,2477,2487.23,2441,2425.59,2397.08
370.5000,2755.55,2685.48,2647.99,2584.43,2537.52,2497.48,2462.13,2472.13,2426.28,2411.12,2383.39
371.0000,2733.81,2666.03,2627.71,2565.14,2518.23,2479.45,2443.2,2453.43,2408.02,2393.06,2365.33
371.5000,2714.53,2646.69,2608.16,2546.33,2500.12,2462.39,2425.38,2435.3,2390.87,2376.41,2348.71
372.0000,2695.51,2629.29,2589.9,2529.11,2482.91,2446.26,2409.29,2418.67,2374.99,2360.64,2332.94
