XYDATA,BFII_lipid-000_12-11-25-1,BFII_lipid-005_12-11-25-1,BFII_lipid-010_12-11-25-1,BFII_lipid-015_12-11-25-1,BFII_lipid-020_12-11-25-1,BFII_lipid-025_12-11-25-1,BFII_lipid-030_12-11-25-1,BFII_lipid-035_12-11-25-1,BFII_lipid-040_12-11-25-1,BFII_lipid-045_12-11-25-1,BFII_lipid-050_12-11-25-1
328.5000,1305.4,1359.21,1384.01,1388.29,1399.54,1400.35,1408.5,1418.83,1430.38,1436.89,1438.86
329.0000,1331.3,1385.28,1409.37,1413.02,1423.65,1423.34,1430.56,1439.98,1451.48,1456.72,1458.6
329.5000,1365.88,1420.04,1443.93,1446.23,1455.65,1453.81,1460.4,1468.16,1478.43,1482.73,1484.13
330.0000,1394.65,1448.69,1472.15,1472.98,1481.61,1479.25,1484.59,1491.25,1500.74,1504.27,1504.64
330.5000,1426.33,1480.57,1502.54,1502.44,1509.87,1506.54,1511.04,1516.53,1525.45,1527.15,1527.42
331.0000,1454.87,1508.8,1529.18,1528.74,1535.99,1530.81,1534.5,1538.44,1547.59,1548.29,1547.46
331.5000,1485.4,1539.12,1558.67,1557.43,1564.35,1557.39,1559.85,1562.89,1571.28,1571.27,1569.38
332.0000,1513.43,1566.62,1585.18,1582.92,1587.91,1581.1,1582.48,1584.96,1591.84,1590.69,1588.85
332.5000,1544.33,1596.78,1613.73,1610.76,1614.61,1606.16,1607.17,1608.21,1614.76,1612.54,1609.89
333.0000,1576.52,1629.35,1644.86,1640.26,1642.99,1633.7,1633.67,1633.54,1640.03,1636.56,1631.69
333.5000,1600.53,1653.05,1667.02,1662.01,1664.4,1653.91,1652.97,1652.04,1658.23,1653.49,1648.01
334.0000,1631.64,1684.14,1697.37,1691.02,1692.28,1680.92,1678.54,1675.83,1681.25,1675.4,1669.03
334.5000,1657.48,1709.85,1721.61,1714.8,1715.15,1702.33,1699.17,1695.06,1699.29,1693.63,1686.75
335.0000,1685.47,1736.7,1748.79,1739.99,1739.53,1724.58,1721.27,1716.15,1719.69,1713.35,1704.45
335.5000,1710.22,1761.41,1772.19,1763.16,1761.72,1744.89,1741.02,1735.41,1737.4,1730.07,1720.8
336.0000,1736.46,1787.76,1798.16,1788.7,1784.92,1767.11,1762.21,1755.91,1756.38,1747.97,1738.54
336.5000,1760.19,1811.52,1821.34,1810.7,1805.68,1786.63,1781.4,1772.75,1773.55,1763.54,1753.49
337.0000,1786.41,1837.68,1846.04,1834.65,1827.75,1807.65,1801.58,1791.32,1791.17,1780.39,1769.93
337.5000,1814.07,1864.5,1871.83,1859.68,1851.17,1829.69,1822.06,1811.25,1810.36,1797.84,1786.64
338.0000,1834.04,1884.57,1889.9,1878.39,1868.89,1845.92,1837.17,1825.38,1823.52,1810.95,1798.43
338.5000,1860.13,1910.43,1914.44,1901.86,1891.05,1866.94,1857.31,1843.89,1840.98,1827.46,1813.76
339.0000,1881.12,1930.83,1933.89,1920.68,1908.69,1883.7,1873.14,1858.41,1855.29,1840.22,1826.7
339.5000,1903.29,1953.3,1955.67,1940.15,1927.02,1900.6,1890.45,1874.18,1870.02,1853.62,1840.22
340.0000,1922.61,1972.75,1974.16,1957.47,1944.05,1915.87,1905.11,1888.31,1883.48,1865.48,1851.59
340.5000,1943.6,1993.27,1994.45,1976.83,1962.32,1931.83,1920.47,1903.18,1897.47,1878.02,1863.05
341.0000,1962.15,2011.52,2012.11,1992.95,1977.46,1946.5,1934.68,1916.33,1909.57,1888.67,1873.03
341.5000,1981.36,2030.9,2030.51,2009.93,1993.62,1961.77,1949,1930.18,1922.37,1900.24,1883.62
342.0000,2001.72,2051.28,2049.71,2026.68,2010.97,1978.01,1963.72,1943.72,1935.28,1912.56,1894.78
342.5000,2017.12,2065.69,2064.43,2039.3,2022.87,1988.83,1973.91,1953.43,1944.77,1921.22,1902.47
343.0000,2035.45,2084.77,2081.89,2055.95,2038.07,2002.99,1987.57,1965.25,1956.62,1931.86,1911.92
