BFII_nolipid
""
WAVELENGTH	FLUORESCENCE
300.0	79.49756622314453
300.5	85.08626556396484
301.0	91.59581756591797
301.5	97.78337097167969
302.0	106.6521987915039
302.5	116.7291488647461
303.0	126.3980941772461
303.5	137.40838623046875
304.0	147.9302978515625
304.5	160.17108154296875
305.0	174.4124298095703
305.5	185.41217041015625
306.0	200.4871063232422
306.5	212.3329315185547
307.0	228.465087890625
307.5	240.9632568359375
308.0	259.014404296875
308.5	275.89910888671875
309.0	291.77239990234375
309.5	310.050537109375
310.0	327.27978515625
310.5	345.25506591796875
311.0	365.5318908691406
311.5	384.1502990722656
312.0	405.5367431640625
312.5	425.3634948730469
313.0	447.859619140625
313.5	469.0487060546875
314.0	493.0018615722656
314.5	519.8792114257812
315.0	539.8369750976562
315.5	567.3101806640625
316.0	588.5614013671875
316.5	617.0126342773438
317.0	643.0594482421875
317.5	667.8910522460938
318.0	693.1468505859375
318.5	721.1865234375
319.0	746.9962768554688
319.5	775.757568359375
320.0	802.3655395507812
320.5	831.8868408203125
321.0	864.4906616210938
321.5	889.610595703125
322.0	923.45263671875
322.5	949.260009765625
323.0	983.0636596679688
323.5	1014.8298950195312
324.0	1044.2911376953125
324.5	1073.4896240234375
325.0	1105.906982421875
325.5	1135.705810546875
326.0	1168.6507568359375
326.5	1198.19580078125
327.0	1231.1378173828125
327.5	1266.969970703125
328.0	1294.2974853515625
328.5	1329.2120361328125
329.0	1355.6351318359375
329.5	1391.7613525390625
330.0	1421.555419921875
330.5	1453.857177734375
331.0	1483.010009765625
331.5	1514.098388671875
332.0	1542.37158203125
332.5	1573.3944091796875
333.0	1607.1336669921875
333.5	1631.836181640625
334.0	1663.5010986328125
334.5	1689.4083251953125
335.0	1718.3223876953125
335.5	1743.499267578125
336.0	1770.6175537109375
336.5	1795.1558837890625
337.0	1821.292236328125
337.5	1849.0457763671875
338.0	1869.31591796875
338.5	1895.067138671875
339.0	1916.319580078125
339.5	1938.9173583984375
340.0	1958.583740234375
340.5	1979.4366455078125
341.0	1997.8924560546875
341.5	2017.85888671875
342.0	2038.26318359375
342.5	2053.14892578125
343.0	2072.966552734375
343.5	2088.5908203125
344.0	2104.729248046875
344.5	2118.8603515625
345.0	2133.773193359375
345.5	2146.36865234375
346.0	2158.76708984375
346.5	2172.267333984375
347.0	2182.678466796875
347.5	2193.150146484375
348.0	2201.55859375
348.5	2211.503662109375
349.0	2219.0791015625
349.5	2227.448486328125
350.0	2234.974365234375
350.5	2240.559814453125
351.0	2246.323486328125
351.5	2251.2958984375
352.0	2255.239013671875
352.5	2259.1279296875
353.0	2262.44873046875
353.5	2264.78369140625
354.0	2266.627197265625
354.5	2267.951416015625
355.0	2268.996337890625
355.5	2269.54638671875
356.0	2269.16845703125
356.5	2268.79833984375
357.0	2267.17236328125
357.5	2264.921630859375
358.0	2262.44482421875
358.5	2259.0068359375
359.0	2256.188720703125
359.5	2252.165283203125
360.0	2248.09326171875
360.5	2243.161376953125
361.0	2237.576416015625
361.5	2230.233642578125
362.0	2223.211669921875
362.5	2216.316650390625
363.0	2208.2216796875
363.5	2200.234130859375
364.0	2191.772705078125
364.5	2183.246337890625
365.0	2172.092529296875
365.5	2161.760986328125
366.0	2151.587646484375
366.5	2139.4521484375
367.0	2128.8935546875
367.5	2114.97265625
368.0	2102.43359375
368.5	2090.48095703125
369.0	2076.232421875
369.5	2062.743896484375
370.0	2048.7666015625
370.5	2034.800048828125
371.0	2017.7520751953125
371.5	2001.2366943359375
