BFII_nolipid
""
WAVELENGTH	FLUORESCENCE
300.0	78.68152618408203
300.5	84.35069274902344
301.0	90.86727905273438
301.5	96.78435516357422
302.0	105.33502960205078
302.5	115.0812759399414
303.0	124.50154876708984
303.5	135.1421356201172
304.0	145.66171264648438
304.5	157.42010498046875
305.0	171.03329467773438
305.5	181.7316131591797
306.0	196.61825561523438
306.5	207.99237060546875
307.0	224.28839111328125
307.5	236.84803771972656
308.0	254.36984252929688
308.5	270.9584045410156
309.0	286.4845275878906
309.5	304.51837158203125
310.0	321.15948486328125
310.5	338.8781433105469
311.0	358.4997253417969
311.5	377.0442810058594
312.0	398.02215576171875
312.5	417.6670227050781
313.0	439.9168701171875
313.5	460.4580993652344
314.0	483.4294738769531
314.5	509.7711486816406
315.0	529.8508911132812
315.5	556.7971801757812
316.0	577.837646484375
316.5	605.8750610351562
317.0	632.1880493164062
317.5	656.6057739257812
318.0	681.1622314453125
318.5	708.15478515625
319.0	733.2304077148438
319.5	761.6359252929688
320.0	787.74169921875
320.5	816.9685668945312
321.0	849.2460327148438
321.5	873.6420288085938
322.0	905.8095092773438
322.5	930.908447265625
323.0	964.4136962890625
323.5	995.330810546875
324.0	1023.7095336914062
324.5	1052.495849609375
325.0	1083.93310546875
325.5	1112.8447265625
326.0	1144.86474609375
326.5	1174.241943359375
327.0	1206.4095458984375
327.5	1241.44873046875
328.0	1268.0875244140625
328.5	1302.6053466796875
329.0	1329.005615234375
329.5	1364.17138671875
330.0	1392.58935546875
330.5	1423.6854248046875
331.0	1452.15966796875
331.5	1483.2125244140625
332.0	1511.13720703125
332.5	1541.143798828125
333.0	1573.12109375
333.5	1596.862548828125
334.0	1627.910400390625
334.5	1653.4376220703125
335.0	1681.0384521484375
335.5	1705.636474609375
336.0	1731.8502197265625
336.5	1755.648193359375
337.0	1781.53076171875
337.5	1808.8267822265625
338.0	1828.8076171875
338.5	1854.1617431640625
339.0	1874.75341796875
339.5	1897.185546875
340.0	1917.104736328125
340.5	1938.22705078125
341.0	1956.495361328125
341.5	1975.994140625
342.0	1996.7293701171875
342.5	2012.0587158203125
343.0	2030.755126953125
343.5	2045.34716796875
344.0	2061.072265625
344.5	2074.760498046875
345.0	2088.90966796875
345.5	2101.60205078125
346.0	2114.234619140625
346.5	2127.046142578125
347.0	2136.658447265625
347.5	2147.03955078125
348.0	2155.643310546875
348.5	2164.857421875
349.0	2171.8642578125
349.5	2179.1962890625
350.0	2186.8701171875
350.5	2192.192626953125
351.0	2198.714111328125
351.5	2202.791015625
352.0	2207.079345703125
352.5	2210.633056640625
353.0	2214.133544921875
353.5	2215.734619140625
354.0	2218.083251953125
354.5	2220.006103515625
355.0	2220.596923828125
355.5	2220.218994140625
356.0	2219.90283203125
356.5	2219.3046875
357.0	2217.68603515625
357.5	2216.053955078125
358.0	2213.087158203125
358.5	2209.66748046875
359.0	2206.71240234375
359.5	2202.259765625
360.0	2197.934814453125
360.5	2192.1943359375
361.0	2186.625244140625
361.5	2180.318115234375
362.0	2173.8037109375
362.5	2167.2431640625
363.0	2159.65283203125
363.5	2151.738037109375
364.0	2142.9365234375
364.5	2135.15625
365.0	2124.283203125
365.5	2113.889892578125
366.0	2104.94970703125
366.5	2093.58740234375
367.0	2083.14013671875
367.5	2070.43896484375
368.0	2057.8466796875
368.5	2046.2073974609375
369.0	2031.998046875
369.5	2019.5789794921875
370.0	2005.3048095703125
370.5	1991.941162109375
371.0	1975.084228515625
371.5	1959.88427734375
372.0	1945.035888671875
372.5	1928.570068359375
373.0	1912.8621826171875
373.5	1894.3759765625
374.0	1876.046630859375
374.5	1860.2431640625
375.0	1842.1142578125
375.5	1825.4814453125
376.0	1804.959716796875
376.5	1786.1348876953125
377.0	1768.8826904296875
377.5	1749.935302734375
378.0	1731.72900390625
378.5	1709.53955078125
379.0	1689.628173828125
379.5	1671.606201171875
380.0	1650.9556884765625
380.5	1632.5296630859375
381.0	1610.381591796875
381.5	1590.0242919921875
382.0	1571.4931640625
382.5	1551.357666015625
383.0	1533.58154296875
383.5	1510.7149658203125
384.0	1489.9251708984375
384.5	1471.1695556640625
385.0	1451.2642822265625
385.5	1432.43994140625
386.0	1409.382568359375
386.5	1388.8751220703125
387.0	1370.03759765625
387.5	1349.414306640625
388.0	1330.8006591796875
388.5	1309.258544921875
389.0	1288.981689453125
389.5	1270.5098876953125
390.0	1248.5380859375
390.5	1232.7508544921875
391.0	1210.869140625
391.5	1190.8382568359375
392.0	1173.2547607421875
392.5	1152.148193359375
393.0	1136.782958984375
393.5	1116.6768798828125
394.0	1097.176025390625
394.5	1080.0462646484375
395.0	1059.8582763671875
395.5	1042.1064453125
396.0	1026.3837890625
396.5	1007.4812622070312
397.0	992.4429321289062
397.5	973.369873046875
398.0	956.048828125
398.5	940.3732299804688
399.0	921.803466796875
399.5	904.8534545898438
400.0	889.6964721679688
400.5	874.667236328125
401.0	858.267333984375
401.5	840.7532348632812
402.0	824.8812866210938
402.5	810.8524169921875
403.0	793.9944458007812
403.5	779.0633544921875
404.0	765.7369995117188
404.5	752.87109375
405.0	738.6574096679688
405.5	723.575927734375
406.0	710.4337768554688
406.5	696.3456420898438
407.0	681.7432250976562
407.5	668.235595703125
408.0	656.2745971679688
408.5	642.2494506835938
409.0	632.2784423828125
409.5	618.6432495117188
410.0	607.4251098632812
410.5	595.2281494140625
411.0	581.9111938476562
411.5	571.4373168945312
412.0	560.0551147460938
412.5	547.5942993164062
413.0	536.284423828125
413.5	526.1885375976562
414.0	514.2448120117188
414.5	506.1661071777344
415.0	494.7554016113281
415.5	485.4502258300781
416.0	475.4593505859375
416.5	464.8243713378906
417.0	456.17718505859375
417.5	446.62957763671875
418.0	436.5433349609375
418.5	428.4735412597656
419.0	419.3275451660156
419.5	409.7474670410156
420.0	400.8795471191406
420.5	393.14794921875
421.0	383.8810729980469
421.5	377.32598876953125
422.0	368.2715759277344
422.5	359.27960205078125
423.0	352.54693603515625
423.5	344.2975769042969
424.0	337.77337646484375
424.5	330.32147216796875
425.0	322.6700134277344
425.5	316.4123229980469
426.0	309.5604553222656
426.5	302.2894592285156
427.0	296.3426208496094
427.5	289.85968017578125
428.0	282.98883056640625
428.5	277.5700988769531
429.0	271.5576477050781
429.5	264.7467956542969
430.0	259.3897399902344
430.5	253.7818145751953
431.0	247.85479736328125
431.5	243.03689575195312
432.0	237.56044006347656
432.5	231.90817260742188
433.0	227.46731567382812
433.5	222.5084228515625
434.0	217.0834197998047
434.5	212.7837677001953
435.0	207.9813232421875
435.5	202.97178649902344
436.0	198.69017028808594
436.5	194.26434326171875
437.0	189.753662109375
437.5	185.97598266601562
438.0	181.90728759765625
438.5	177.3939971923828
439.0	173.82534790039062
439.5	170.0003662109375
440.0	166.0465545654297
440.5	162.83851623535156
441.0	159.21597290039062
441.5	155.45306396484375
442.0	152.343505859375
442.5	149.0387725830078
443.0	145.4698944091797
443.5	142.4783477783203
444.0	139.0781707763672
444.5	135.96055603027344
445.0	132.61868286132812
445.5	129.79598999023438
446.0	126.73210144042969
446.5	123.48047637939453
447.0	121.04576873779297
447.5	118.24716186523438
448.0	115.23274230957031
448.5	112.79757690429688
449.0	110.1268310546875
449.5	107.40080261230469
450.0	105.02294921875
