TRP_nolipid
""
WAVELENGTH	FLUORESCENCE
300.0	103.4001693725586
300.5	110.96573638916016
301.0	119.57102966308594
301.5	127.54875183105469
302.0	139.11489868164062
302.5	152.33038330078125
303.0	165.19711303710938
303.5	179.63327026367188
304.0	193.81417846679688
304.5	210.1572723388672
305.0	228.56591796875
305.5	243.28970336914062
306.0	263.59259033203125
306.5	279.2962951660156
307.0	301.2945251464844
307.5	318.5858154296875
308.0	342.450927734375
308.5	365.3166198730469
309.0	386.6291198730469
309.5	410.7514953613281
310.0	433.4783935546875
310.5	457.196533203125
311.0	484.39190673828125
311.5	510.3836364746094
312.0	539.27099609375
312.5	566.3936157226562
313.0	596.8675537109375
313.5	625.6827392578125
314.0	658.114990234375
314.5	693.9921264648438
315.0	721.8099975585938
315.5	758.9567260742188
316.0	787.2996215820312
316.5	826.1053466796875
317.0	861.4420166015625
317.5	894.49267578125
318.0	927.5836181640625
318.5	964.5576782226562
319.0	999.2926025390625
319.5	1037.4010009765625
320.0	1072.5689697265625
320.5	1111.5394287109375
321.0	1154.44775390625
321.5	1187.8577880859375
322.0	1231.8848876953125
322.5	1265.2955322265625
323.0	1310.755126953125
323.5	1352.5906982421875
324.0	1390.6795654296875
324.5	1429.04296875
325.0	1472.20703125
325.5	1510.8187255859375
326.0	1553.6031494140625
326.5	1592.732421875
327.0	1635.17041015625
327.5	1682.8809814453125
328.0	1719.0294189453125
328.5	1766.3699951171875
329.0	1801.66552734375
329.5	1847.8973388671875
330.0	1886.2628173828125
330.5	1928.5465087890625
331.0	1966.4595947265625
331.5	2007.6024169921875
332.0	2044.8201904296875
332.5	2085.101806640625
333.0	2128.11328125
333.5	2160.39013671875
334.0	2203.138916015625
334.5	2238.029296875
335.0	2276.32666015625
335.5	2310.10498046875
336.0	2346.916259765625
336.5	2379.85693359375
337.0	2414.662841796875
337.5	2452.46435546875
338.0	2480.40380859375
338.5	2516.25439453125
339.0	2545.7080078125
339.5	2577.6171875
340.0	2605.677490234375
340.5	2635.450927734375
341.0	2661.37548828125
341.5	2689.534423828125
342.0	2718.86083984375
342.5	2740.735107421875
343.0	2767.263671875
